t	Temperature 
t/s	T/°C

0,000	23,9
0,000	23,9
5,000	23,9
10,000	23,9
15,000	23,9
20,000	23,9
25,000	23,9
30,000	23,9
35,000	23,9
40,000	23,9
45,000	23,9
50,000	23,9
55,000	23,9
60,000	23,9
65,000	23,9
70,000	23,9
75,000	23,9
80,000	23,9
85,000	23,9
90,000	23,9
95,000	23,9
100,000	23,7
105,000	23,5
110,000	23,3
115,000	23,1
120,000	22,6
125,000	22,0
130,000	21,6
135,000	21,2
140,000	20,8
145,000	20,6
150,000	20,3
155,000	20,2
160,000	20,0
165,000	19,9
170,000	19,9
175,000	19,8
180,000	19,8
185,000	19,7
190,000	19,7
195,000	19,7
200,000	19,7
205,000	19,7
210,000	19,7
215,000	19,6
220,000	19,6
225,000	19,6
230,000	19,6
235,000	19,6
240,000	19,6
245,000	19,6
250,000	19,7
255,000	19,7
