Position, Run #4
Time ( s )	Position ( m )
0,0040	1,380
0,1040	1,380
0,2040	1,380
0,3040	1,380
0,4040	1,379
0,5040	1,379
0,6040	1,379
0,7040	1,379
0,8040	1,380
0,9040	1,380
1,0040	1,379
1,1040	1,380
1,2040	1,380
1,3040	1,380
1,4040	1,379
1,5040	1,379
1,6040	1,380
1,7040	1,380
1,8040	1,379
1,9040	1,379
2,0040	1,379
2,1040	1,379
2,2040	1,379
2,3040	1,379
2,4040	1,379
2,5040	1,379
2,6040	1,379
2,7040	1,380
2,8040	1,380
2,9040	1,379
3,0040	1,380
3,1040	1,380
3,2040	1,379
3,3040	1,380
3,4040	1,380
3,5040	1,380
3,6040	1,380
3,7040	1,379
3,8040	1,378
3,9039	1,358
4,0038	1,318
4,1037	1,272
4,2036	1,228
4,3034	1,184
4,4033	1,140
4,5032	1,097
4,6031	1,053
4,7029	1,010
4,8028	0,965
4,9027	0,922
5,0026	0,883
5,1024	0,841
5,2023	0,798
5,3022	0,756
5,4021	0,715
5,5020	0,674
5,6018	0,633
5,7017	0,592
5,8016	0,551
5,9015	0,511
6,0014	0,471
6,1013	0,432
6,2011	0,393
6,3010	0,354
6,4009	0,315
6,5008	0,277
6,6007	0,239
6,7006	0,205
6,8005	0,177
6,9005	0,183
7,0006	0,209
7,1007	0,244
7,2008	0,281
7,3009	0,317
7,4010	0,354
7,5011	0,390
