Position, Run #3
Time ( s )	Position ( m )
0,0040	1,392
0,1040	1,392
0,2041	1,394
0,3040	1,392
0,4040	1,391
0,5040	1,390
0,6040	1,391
0,7040	1,391
0,8040	1,392
0,9040	1,391
1,0040	1,391
1,1040	1,392
1,2041	1,394
1,3040	1,392
1,4040	1,392
1,5041	1,394
1,6040	1,392
1,7040	1,392
1,8040	1,391
1,9040	1,392
2,0040	1,391
2,1040	1,391
2,2040	1,391
2,3040	1,391
2,4040	1,391
2,5040	1,391
2,6040	1,391
2,7040	1,389
2,8040	1,391
2,9040	1,391
3,0040	1,391
3,1040	1,392
3,2040	1,391
3,3040	1,391
3,4040	1,391
3,5040	1,391
3,6040	1,391
3,7040	1,391
3,8040	1,388
3,9040	1,391
4,0040	1,391
4,1040	1,391
4,2040	1,391
4,3040	1,391
4,4040	1,391
4,5040	1,391
4,6040	1,391
4,7040	1,392
4,8040	1,391
4,9040	1,390
5,0040	1,391
5,1040	1,385
5,2040	1,360
5,3038	1,318
5,4037	1,270
5,5036	1,225
5,6034	1,179
5,7033	1,134
5,8032	1,089
5,9030	1,045
6,0029	1,000
6,1028	0,954
6,2027	0,913
6,3025	0,870
6,4024	0,827
6,5023	0,783
6,6022	0,740
6,7020	0,698
6,8019	0,656
6,9018	0,614
7,0017	0,572
7,1015	0,530
7,2014	0,489
7,3013	0,448
7,4012	0,408
7,5011	0,368
7,6010	0,328
7,7008	0,288
7,8007	0,249
7,9006	0,213
8,0005	0,183
8,1005	0,177
8,2006	0,205
8,3007	0,238
8,4008	0,276
8,5009	0,313
8,6010	0,351
8,7011	0,388
8,8012	0,425
8,9013	0,463
9,0015	0,501
9,1016	0,539
9,2017	0,577
9,3018	0,615
9,4019	0,654
