Position2, Run #5
Time ( s )	Position ( m )
0,0505	0,165
0,1505	0,165
0,2505	0,165
0,3505	0,165
0,4505	0,165
0,5505	0,165
0,6505	0,165
0,7505	0,165
0,8505	0,165
0,9505	0,165
1,0505	0,165
1,1505	0,165
1,2505	0,165
1,3505	0,165
1,4505	0,165
1,5505	0,165
1,6505	0,187
1,7507	0,241
1,8509	0,295
1,9510	0,349
2,0512	0,402
2,1513	0,456
2,2515	0,500
2,3515	0,508
2,4515	0,502
2,5514	0,497
2,6514	0,491
2,7514	0,486
2,8514	0,480
2,9514	0,475
3,0514	0,469
3,1513	0,463
3,2513	0,457
3,3513	0,452
3,4513	0,446
3,5513	0,440
3,6513	0,434
3,7512	0,428
3,8512	0,421
3,9512	0,415
4,0512	0,409
4,1512	0,403
4,2512	0,397
4,3511	0,390
4,4511	0,384
4,5511	0,377
4,6511	0,370
4,7511	0,364
4,8510	0,357
4,9510	0,350
5,0510	0,343
5,1510	0,336
5,2510	0,329
5,3509	0,321
5,4509	0,314
5,5509	0,307
5,6509	0,300
5,7508	0,292
5,8508	0,285
5,9508	0,277
6,0508	0,270
6,1508	0,263
6,2507	0,255
6,3507	0,248
6,4507	0,240
6,5507	0,233
6,6507	0,225
6,7506	0,218
6,8506	0,210
6,9506	0,202
7,0506	0,195
