Position, Run #2
Time ( s )	Position ( m )
0,0040	1,378
0,1040	1,378
0,2040	1,378
0,3040	1,378
0,4040	1,378
0,5040	1,378
0,6040	1,378
0,7040	1,378
0,8040	1,378
0,9040	1,378
1,0040	1,378
1,1040	1,377
1,2040	1,377
1,3040	1,377
1,4040	1,378
1,5040	1,378
1,6040	1,378
1,7040	1,378
1,8040	1,378
1,9040	1,378
2,0040	1,378
2,1040	1,377
2,2040	1,378
2,3040	1,378
2,4040	1,378
2,5040	1,378
2,6040	1,378
2,7040	1,378
2,8040	1,378
2,9040	1,378
3,0040	1,378
3,1040	1,378
3,2040	1,378
3,3040	1,378
3,4040	1,378
3,5040	1,377
3,6040	1,363
3,7039	1,325
3,8037	1,284
3,9036	1,243
4,0035	1,201
4,1034	1,160
4,2033	1,119
4,3031	1,079
4,4030	1,038
4,5029	0,997
4,6028	0,957
4,7027	0,915
4,8026	0,879
4,9024	0,840
5,0023	0,800
5,1022	0,761
5,2021	0,722
5,3020	0,684
5,4019	0,646
5,5018	0,608
5,6017	0,570
5,7015	0,533
5,8014	0,496
5,9013	0,459
6,0012	0,423
6,1011	0,388
6,2010	0,352
6,3009	0,316
6,4008	0,281
6,5007	0,246
6,6006	0,213
