Position, Run #6
Time ( s )	Position ( m )
0,0040	1,386
0,1040	1,383
0,2040	1,383
0,3040	1,386
0,4040	1,386
0,5040	1,386
0,6040	1,386
0,7040	1,383
0,8040	1,383
0,9040	1,384
1,0040	1,387
1,1040	1,387
1,2040	1,386
1,3040	1,386
1,4040	1,384
1,5040	1,386
1,6040	1,383
1,7040	1,383
1,8040	1,384
1,9040	1,384
2,0040	1,386
2,1040	1,384
2,2040	1,384
2,3040	1,384
2,4040	1,384
2,5040	1,386
2,6040	1,386
2,7040	1,387
2,8040	1,384
2,9040	1,377
3,0039	1,344
3,1038	1,297
3,2036	1,252
3,3035	1,207
3,4034	1,163
3,5033	1,118
3,6031	1,071
3,7030	1,027
3,8029	0,984
3,9027	0,940
4,0026	0,897
4,1025	0,857
4,2024	0,814
4,3022	0,772
4,4021	0,729
4,5020	0,687
4,6019	0,645
4,7018	0,604
4,8016	0,562
4,9015	0,522
5,0014	0,481
5,1013	0,441
5,2012	0,401
5,3011	0,362
5,4009	0,323
5,5008	0,284
5,6007	0,245
5,7006	0,211
5,8005	0,181
5,9005	0,180
6,0006	0,206
6,1007	0,240
6,2008	0,276
6,3009	0,313
6,4010	0,350
6,5011	0,387
6,6012	0,423
6,7013	0,461
6,8014	0,498
6,9016	0,536
7,0017	0,573
7,1018	0,611
