Position2, Run #4
Time ( s )	Position ( m )
0,0505	0,165
0,1505	0,165
0,2505	0,165
0,3505	0,165
0,4505	0,165
0,5505	0,165
0,6505	0,165
0,7505	0,165
0,8505	0,165
0,9505	0,165
1,0505	0,165
1,1505	0,165
1,2505	0,165
1,3505	0,165
1,4505	0,165
1,5505	0,165
1,6505	0,165
1,7505	0,165
1,8505	0,165
1,9505	0,165
2,0505	0,165
2,1505	0,165
2,2505	0,165
2,3505	0,165
2,4505	0,165
2,5505	0,165
2,6505	0,165
2,7505	0,165
2,8505	0,165
2,9505	0,165
3,0505	0,165
3,1505	0,165
3,2506	0,199
3,3507	0,251
3,4509	0,303
3,5510	0,354
3,6512	0,405
3,7513	0,456
3,8514	0,498
3,9515	0,506
4,0515	0,501
4,1514	0,495
4,2514	0,490
4,3514	0,485
4,4514	0,480
4,5514	0,474
4,6514	0,469
4,7513	0,463
4,8513	0,458
4,9513	0,452
5,0513	0,446
5,1513	0,441
5,2513	0,435
5,3512	0,429
5,4512	0,423
5,5512	0,417
5,6512	0,411
5,7512	0,405
5,8512	0,399
5,9511	0,393
6,0511	0,387
6,1511	0,381
6,2511	0,374
6,3511	0,368
6,4511	0,361
6,5510	0,355
6,6510	0,348
6,7510	0,341
6,8510	0,335
6,9510	0,328
7,0509	0,321
7,1509	0,314
7,2509	0,307
7,3509	0,300
7,4509	0,293
