t	Temperature 
t/s	T/°C

0,000	18,0
0,000	18,0
5,000	18,0
10,000	18,0
15,000	18,0
20,000	18,0
25,000	17,3
30,000	16,7
35,000	16,2
40,000	15,9
45,000	15,4
50,000	15,1
55,000	14,9
60,000	14,6
65,000	14,7
70,000	14,6
75,000	14,5
80,000	14,5
85,000	14,4
90,000	14,4
95,000	14,4
100,000	14,4
105,000	14,4
110,000	14,4
115,000	14,4
120,000	14,4
125,000	14,4
130,000	14,4
135,000	14,4
140,000	14,4
145,000	14,4
150,000	14,4
155,000	14,4
