Position, Run #10
Time ( s )	Position ( m )
0,0034	1,172
0,1034	1,172
0,2034	1,172
0,3034	1,172
0,4034	1,172
0,5034	1,168
0,6034	1,154
0,7034	1,164
0,8034	1,158
0,9034	1,172
1,0034	1,172
1,1034	1,172
1,2034	1,171
1,3034	1,167
1,4034	1,172
1,5034	1,172
1,6034	1,172
1,7034	1,172
1,8034	1,172
1,9034	1,171
2,0034	1,172
2,1034	1,172
2,2034	1,172
2,3034	1,172
2,4034	1,171
2,5034	1,171
2,6034	1,172
2,7034	1,172
2,8034	1,172
2,9034	1,172
3,0034	1,172
3,1034	1,172
3,2034	1,172
3,3034	1,172
3,4034	1,172
3,5034	1,172
3,6034	1,172
3,7034	1,172
3,8034	1,172
3,9034	1,173
4,0034	1,173
4,1034	1,173
4,2034	1,153
4,3032	1,105
4,4031	1,054
4,5029	1,003
4,6028	0,952
4,7026	0,901
4,8025	0,851
4,9023	0,801
5,0022	0,750
5,1020	0,700
5,2019	0,650
5,3017	0,601
5,4016	0,552
5,5015	0,504
5,6013	0,456
5,7012	0,408
5,8010	0,361
5,9009	0,314
6,0008	0,268
6,1007	0,229
6,2005	0,188
6,3005	0,160
6,4006	0,198
6,5007	0,234
6,6008	0,274
6,7009	0,317
6,8010	0,361
6,9012	0,404
7,0013	0,447
7,1014	0,491
7,2016	0,534
7,3017	0,578
7,4018	0,621
7,5019	0,665
7,6021	0,709
7,7022	0,753
7,8023	0,796
7,9024	0,840
8,0026	0,883
8,1027	0,927
