Position2, Run #3
Time ( s )	Position ( m )
0,0505	0,173
0,1505	0,175
0,2505	0,175
0,3505	0,175
0,4505	0,175
0,5505	0,175
0,6505	0,173
0,7505	0,173
0,8505	0,173
0,9505	0,175
1,0505	0,175
1,1505	0,173
1,2505	0,173
1,3505	0,173
1,4505	0,173
1,5505	0,173
1,6505	0,173
1,7505	0,175
1,8505	0,175
1,9505	0,175
2,0505	0,173
2,1505	0,175
2,2505	0,173
2,3506	0,194
2,4507	0,239
2,5508	0,277
2,6509	0,326
2,7511	0,375
2,8512	0,422
2,9514	0,471
3,0515	0,519
3,1517	0,568
3,2518	0,618
3,3519	0,666
3,4521	0,710
3,5521	0,725
3,6521	0,731
3,7521	0,735
3,8522	0,740
3,9522	0,745
4,0522	0,749
4,1522	0,754
4,2522	0,758
4,3522	0,763
4,4522	0,767
4,5522	0,771
4,6523	0,776
4,7523	0,780
4,8523	0,784
4,9523	0,788
5,0523	0,793
5,1523	0,797
5,2523	0,801
5,3523	0,805
5,4524	0,809
5,5524	0,813
5,6524	0,817
5,7524	0,823
5,8524	0,826
5,9524	0,830
6,0524	0,834
