Position, Run #9
Time ( s )	Position ( m )
0,0034	1,173
0,1034	1,173
0,2034	1,173
0,3034	1,173
0,4034	1,173
0,5034	1,165
0,6034	1,173
0,7034	1,173
0,8034	1,173
0,9034	1,170
1,0034	1,168
1,1034	1,170
1,2034	1,173
1,3034	1,173
1,4034	1,173
1,5034	1,173
1,6034	1,173
1,7034	1,173
1,8034	1,173
1,9034	1,173
2,0034	1,173
2,1034	1,173
2,2034	1,173
2,3034	1,173
2,4034	1,173
2,5034	1,173
2,6034	1,173
2,7034	1,170
2,8034	1,173
2,9034	1,173
3,0034	1,170
3,1034	1,169
3,2034	1,170
3,3034	1,173
3,4034	1,173
3,5034	1,173
3,6034	1,173
3,7034	1,173
3,8034	1,173
3,9034	1,172
4,0034	1,171
4,1034	1,160
4,2032	1,116
4,3031	1,065
4,4029	1,014
4,5028	0,963
4,6026	0,911
4,7025	0,861
4,8024	0,810
4,9022	0,760
5,0021	0,710
5,1019	0,661
5,2018	0,612
5,3016	0,563
5,4015	0,515
5,5014	0,467
5,6012	0,420
5,7011	0,373
5,8009	0,326
5,9008	0,280
6,0007	0,237
6,1006	0,201
6,2005	0,161
6,3005	0,185
6,4006	0,222
6,5008	0,261
6,6009	0,304
6,7010	0,347
6,8011	0,390
6,9013	0,433
7,0014	0,477
7,1015	0,520
7,2016	0,563
7,3018	0,606
7,4019	0,650
7,5020	0,693
7,6021	0,737
