Position2, Run #2
Time ( s )	Position ( m )
0,0505	0,177
0,1505	0,177
0,2505	0,177
0,3505	0,177
0,4505	0,177
0,5505	0,177
0,6505	0,177
0,7505	0,177
0,8505	0,177
0,9505	0,177
1,0505	0,177
1,1505	0,177
1,2505	0,177
1,3505	0,177
1,4505	0,177
1,5505	0,177
1,6505	0,177
1,7505	0,177
1,8505	0,177
1,9505	0,177
2,0505	0,177
2,1505	0,177
2,2505	0,177
2,3505	0,177
2,4505	0,177
2,5505	0,177
2,6505	0,177
2,7506	0,220
2,8507	0,255
2,9509	0,303
3,0510	0,352
3,1512	0,400
3,2513	0,448
3,3514	0,497
3,4516	0,545
3,5517	0,595
3,6519	0,644
3,7520	0,691
3,8521	0,717
3,9521	0,725
4,0521	0,731
4,1521	0,735
4,2522	0,740
4,3522	0,745
4,4522	0,750
4,5522	0,754
4,6522	0,759
4,7522	0,763
4,8522	0,767
4,9522	0,772
5,0523	0,776
5,1523	0,781
5,2523	0,785
5,3523	0,789
5,4523	0,794
5,5523	0,798
5,6523	0,802
5,7523	0,806
5,8524	0,810
5,9524	0,814
6,0524	0,818
6,1524	0,822
6,2524	0,828
6,3524	0,832
6,4524	0,836
6,5524	0,840
6,6525	0,843
6,7525	0,847
6,8525	0,851
6,9525	0,854
7,0525	0,857
7,1525	0,861
7,2525	0,864
