Position, Run #5
Time ( s )	Position ( m )
0,0034	1,173
0,1034	1,173
0,2034	1,173
0,3034	1,173
0,4034	1,173
0,5034	1,173
0,6034	1,173
0,7034	1,173
0,8034	1,173
0,9034	1,169
1,0034	1,172
1,1034	1,172
1,2034	1,172
1,3034	1,168
1,4034	1,162
1,5034	1,171
1,6034	1,172
1,7034	1,172
1,8034	1,172
1,9034	1,172
2,0034	1,172
2,1034	1,172
2,2034	1,172
2,3034	1,172
2,4034	1,172
2,5034	1,173
2,6034	1,172
2,7034	1,172
2,8034	1,173
2,9034	1,173
3,0034	1,173
3,1034	1,172
3,2034	1,171
3,3034	1,172
3,4034	1,172
3,5034	1,172
3,6034	1,172
3,7034	1,172
3,8034	1,172
3,9034	1,172
4,0034	1,173
4,1034	1,162
4,2034	1,165
4,3033	1,128
4,4031	1,079
4,5030	1,029
4,6028	0,980
4,7027	0,931
4,8026	0,883
4,9024	0,835
5,0023	0,786
5,1021	0,738
5,2020	0,690
5,3019	0,642
5,4017	0,595
5,5016	0,547
5,6015	0,501
5,7013	0,454
5,8012	0,408
5,9011	0,362
6,0009	0,316
6,1008	0,271
6,2007	0,233
6,3006	0,195
6,4005	0,160
6,5006	0,191
6,6007	0,226
6,7008	0,264
6,8009	0,306
6,9010	0,348
7,0011	0,391
7,1013	0,432
7,2014	0,475
7,3015	0,517
7,4016	0,560
7,5017	0,602
7,6019	0,644
7,7020	0,687
7,8021	0,730
7,9022	0,772
8,0024	0,815
