Position, Run #5
Time ( s )	Position ( m )
0,0040	1,367
0,1040	1,367
0,2040	1,366
0,3040	1,365
0,4040	1,365
0,5040	1,364
0,6040	1,362
0,7040	1,362
0,8040	1,366
0,9040	1,370
1,0040	1,371
1,1040	1,369
1,2040	1,370
1,3040	1,373
1,4040	1,372
1,5040	1,372
1,6040	1,372
1,7040	1,372
1,8040	1,372
1,9040	1,372
2,0040	1,372
2,1040	1,372
2,2040	1,372
2,3040	1,372
2,4040	1,372
2,5040	1,371
2,6040	1,372
2,7040	1,374
2,8040	1,379
2,9040	1,377
3,0040	1,370
3,1040	1,378
3,2040	1,375
3,3040	1,359
3,4039	1,332
3,5038	1,303
3,6037	1,275
3,7036	1,247
3,8035	1,219
3,9035	1,191
4,0034	1,164
4,1033	1,136
4,2032	1,109
4,3031	1,081
4,4031	1,054
4,5030	1,027
4,6029	1,000
4,7028	0,973
4,8028	0,947
4,9027	0,920
5,0026	0,893
5,1025	0,867
5,2024	0,841
5,3024	0,815
5,4023	0,789
5,5022	0,762
5,6021	0,737
5,7021	0,711
5,8020	0,685
5,9019	0,659
6,0018	0,633
6,1018	0,608
6,2017	0,583
6,3016	0,558
6,4016	0,533
6,5015	0,509
6,6014	0,484
6,7013	0,460
6,8013	0,435
6,9012	0,411
