Position, Run #9
Time ( s )	Position ( m )
0,0040	1,378
0,1040	1,372
0,2040	1,361
0,3040	1,360
0,4040	1,364
0,5040	1,374
0,6040	1,367
0,7040	1,364
0,8040	1,367
0,9040	1,367
1,0040	1,368
1,1040	1,371
1,2040	1,375
1,3040	1,375
1,4040	1,374
1,5040	1,374
1,6040	1,372
1,7040	1,372
1,8040	1,371
1,9040	1,371
2,0040	1,371
2,1040	1,374
2,2040	1,374
2,3040	1,375
2,4040	1,375
2,5040	1,378
2,6040	1,378
2,7040	1,367
2,8040	1,371
2,9039	1,355
3,0039	1,329
3,1038	1,302
3,2037	1,275
3,3036	1,248
3,4036	1,222
3,5035	1,196
3,6034	1,169
3,7033	1,143
3,8032	1,117
3,9032	1,091
4,0031	1,066
4,1030	1,040
4,2029	1,015
4,3029	0,989
4,4028	0,964
4,5027	0,939
4,6027	0,913
4,7026	0,889
4,8025	0,864
4,9024	0,839
5,0024	0,815
5,1023	0,790
5,2022	0,766
5,3022	0,741
5,4021	0,717
5,5020	0,692
5,6019	0,669
5,7019	0,645
5,8018	0,621
5,9017	0,597
6,0017	0,573
6,1016	0,550
6,2015	0,527
6,3015	0,504
6,4014	0,481
6,5013	0,459
6,6013	0,436
6,7012	0,414
6,8011	0,393
6,9011	0,371
7,0010	0,350
7,1010	0,328
7,2009	0,307
7,3008	0,287
