Position, Run #7
Time ( s )	Position ( m )
0,0040	1,363
0,1040	1,363
0,2040	1,365
0,3040	1,366
0,4040	1,370
0,5040	1,372
0,6040	1,373
0,7040	1,370
0,8040	1,370
0,9040	1,370
1,0040	1,370
1,1040	1,370
1,2040	1,370
1,3040	1,367
1,4040	1,369
1,5040	1,369
1,6040	1,367
1,7040	1,369
1,8040	1,369
1,9040	1,369
2,0040	1,367
2,1040	1,367
2,2040	1,367
2,3040	1,367
2,4040	1,367
2,5040	1,367
2,6040	1,366
2,7040	1,367
2,8040	1,367
2,9040	1,369
3,0040	1,367
3,1040	1,369
3,2040	1,369
3,3040	1,373
3,4040	1,365
3,5040	1,364
3,6040	1,364
3,7040	1,363
3,8040	1,359
3,9039	1,341
4,0038	1,313
4,1037	1,284
4,2036	1,253
4,3036	1,224
4,4035	1,195
4,5034	1,166
4,6033	1,138
4,7032	1,109
4,8031	1,081
4,9031	1,053
5,0030	1,025
5,1029	0,997
5,2028	0,969
5,3027	0,941
5,4027	0,913
5,5026	0,886
5,6025	0,859
5,7024	0,831
5,8023	0,804
5,9023	0,777
6,0022	0,750
6,1021	0,723
6,2020	0,696
6,3019	0,669
6,4019	0,642
6,5018	0,616
6,6017	0,590
6,7016	0,564
6,8016	0,538
6,9015	0,513
7,0014	0,487
7,1013	0,462
7,2013	0,437
7,3012	0,410
