Position2, Run #1
Time ( s )	Position ( m )
0,0505	0,181
0,1505	0,181
0,2505	0,181
0,3505	0,181
0,4505	0,181
0,5505	0,181
0,6505	0,181
0,7505	0,181
0,8505	0,181
0,9505	0,181
1,0505	0,181
1,1505	0,181
1,2505	0,181
1,3505	0,181
1,4505	0,181
1,5505	0,181
1,6505	0,181
1,7505	0,181
1,8505	0,181
1,9505	0,181
2,0505	0,181
2,1505	0,181
2,2505	0,181
2,3505	0,181
2,4505	0,181
2,5506	0,201
2,6507	0,227
2,7507	0,247
2,8508	0,266
2,9509	0,293
3,0509	0,319
3,1510	0,345
3,2511	0,372
3,3512	0,397
3,4512	0,423
3,5513	0,449
3,6514	0,474
3,7514	0,489
3,8514	0,493
3,9514	0,496
4,0514	0,498
4,1515	0,501
4,2515	0,503
4,3515	0,506
4,4515	0,508
4,5515	0,510
4,6515	0,513
4,7515	0,515
4,8515	0,517
4,9515	0,519
5,0515	0,521
5,1515	0,523
5,2515	0,525
5,3515	0,527
5,4515	0,529
5,5515	0,531
5,6515	0,533
5,7516	0,535
5,8516	0,537
5,9516	0,539
6,0516	0,541
6,1516	0,542
6,2516	0,544
6,3516	0,546
6,4516	0,548
6,5516	0,550
6,6516	0,551
6,7516	0,553
6,8516	0,555
6,9516	0,556
7,0516	0,558
7,1516	0,559
7,2516	0,561
7,3516	0,562
7,4516	0,564
7,5516	0,565
7,6516	0,567
7,7517	0,568
7,8517	0,569
7,9517	0,573
8,0517	0,574
8,1517	0,573
8,2517	0,576
8,3517	0,578
