Position, Run #2
Time ( s )	Position ( m )
0,0040	1,372
0,1040	1,373
0,2040	1,372
0,3040	1,372
0,4040	1,372
0,5040	1,368
0,6040	1,375
0,7040	1,375
0,8040	1,369
0,9040	1,373
1,0040	1,374
1,1040	1,370
1,2040	1,370
1,3040	1,367
1,4040	1,364
1,5039	1,348
1,6039	1,350
1,7039	1,349
1,8039	1,349
1,9039	1,346
2,0039	1,346
2,1039	1,349
2,2039	1,349
2,3039	1,350
2,4039	1,353
2,5039	1,353
2,6039	1,350
2,7039	1,353
2,8039	1,353
2,9040	1,359
3,0040	1,369
3,1040	1,363
3,2040	1,374
3,3040	1,376
3,4040	1,375
3,5040	1,372
3,6039	1,354
3,7039	1,327
3,8038	1,299
3,9037	1,271
4,0036	1,243
4,1035	1,215
4,2035	1,187
4,3034	1,160
4,4033	1,132
4,5032	1,105
4,6031	1,077
4,7031	1,050
4,8030	1,023
4,9029	0,996
5,0028	0,969
5,1027	0,942
5,2027	0,916
5,3026	0,889
5,4025	0,863
5,5024	0,837
