Position2, Run #8
Time ( s )	Position ( m )
0,0505	0,183
0,1505	0,183
0,2505	0,183
0,3505	0,183
0,4505	0,182
0,5505	0,182
0,6505	0,182
0,7505	0,182
0,8505	0,182
0,9505	0,182
1,0505	0,182
1,1505	0,182
1,2505	0,182
1,3505	0,182
1,4505	0,182
1,5505	0,182
1,6505	0,182
1,7505	0,182
1,8505	0,182
1,9505	0,182
2,0505	0,182
2,1505	0,182
2,2505	0,182
2,3505	0,182
2,4505	0,182
2,5505	0,182
2,6505	0,182
2,7505	0,182
2,8505	0,182
2,9505	0,182
3,0505	0,182
3,1505	0,182
3,2505	0,182
3,3505	0,182
3,4505	0,182
3,5505	0,182
3,6505	0,182
3,7505	0,182
3,8505	0,182
3,9505	0,182
4,0505	0,182
4,1505	0,182
4,2505	0,182
4,3506	0,201
4,4506	0,223
4,5507	0,245
4,6508	0,265
4,7508	0,291
4,8509	0,317
4,9510	0,343
5,0511	0,369
5,1511	0,394
5,2512	0,420
5,3513	0,445
5,4514	0,470
5,5514	0,483
5,6514	0,483
5,7514	0,482
5,8514	0,480
5,9514	0,478
6,0514	0,476
6,1514	0,475
6,2514	0,473
6,3514	0,471
6,4514	0,469
6,5514	0,467
6,6514	0,465
6,7513	0,463
6,8513	0,461
6,9513	0,459
7,0513	0,457
7,1513	0,455
7,2513	0,453
7,3513	0,451
7,4513	0,449
7,5513	0,447
7,6513	0,444
7,7513	0,442
7,8513	0,440
7,9513	0,438
8,0513	0,436
8,1513	0,434
8,2513	0,432
