Position, Run #10
Time ( s )	Position ( m )
0,0040	1,372
0,1040	1,372
0,2040	1,372
0,3040	1,369
0,4040	1,372
0,5040	1,372
0,6040	1,372
0,7040	1,371
0,8040	1,371
0,9040	1,359
1,0040	1,365
1,1040	1,364
1,2039	1,356
1,3040	1,360
1,4040	1,367
1,5040	1,370
1,6040	1,373
1,7040	1,373
1,8040	1,373
1,9040	1,373
2,0040	1,373
2,1040	1,373
2,2040	1,373
2,3040	1,373
2,4040	1,373
2,5040	1,373
2,6040	1,373
2,7040	1,373
2,8040	1,374
2,9040	1,373
3,0040	1,374
3,1040	1,376
3,2040	1,376
3,3040	1,376
3,4040	1,374
3,5040	1,373
3,6040	1,373
3,7040	1,363
3,8040	1,373
3,9040	1,364
4,0039	1,342
4,1038	1,314
4,2037	1,287
4,3037	1,261
4,4036	1,234
4,5035	1,208
4,6034	1,181
4,7034	1,155
4,8033	1,129
4,9032	1,103
5,0031	1,077
5,1031	1,051
5,2030	1,026
5,3029	1,000
5,4028	0,975
5,5028	0,950
5,6027	0,925
5,7026	0,899
5,8025	0,874
5,9025	0,850
6,0024	0,825
6,1023	0,800
6,2023	0,776
6,3022	0,751
6,4021	0,727
6,5020	0,703
6,6020	0,679
6,7019	0,654
6,8018	0,631
6,9018	0,607
7,0017	0,583
7,1016	0,560
7,2016	0,537
7,3015	0,514
7,4014	0,491
7,5014	0,468
