Position2, Run #7
Time ( s )	Position ( m )
0,0505	0,170
0,1505	0,170
0,2505	0,170
0,3505	0,170
0,4505	0,170
0,5505	0,170
0,6505	0,169
0,7505	0,169
0,8505	0,169
0,9505	0,169
1,0505	0,169
1,1505	0,169
1,2505	0,169
1,3505	0,169
1,4505	0,169
1,5505	0,169
1,6505	0,169
1,7505	0,169
1,8505	0,169
1,9505	0,169
2,0505	0,170
2,1505	0,184
2,2506	0,210
2,3507	0,241
2,4508	0,271
2,5509	0,301
2,6510	0,331
2,7510	0,361
2,8511	0,390
2,9512	0,419
3,0513	0,448
3,1514	0,474
3,2514	0,484
3,3514	0,482
3,4514	0,479
3,5514	0,476
3,6514	0,472
3,7514	0,469
3,8514	0,465
3,9513	0,461
4,0513	0,458
4,1513	0,454
4,2513	0,450
4,3513	0,446
4,4513	0,442
4,5513	0,438
4,6513	0,434
4,7513	0,430
4,8512	0,426
4,9512	0,422
5,0512	0,418
5,1512	0,413
5,2512	0,409
5,3512	0,405
5,4512	0,400
5,5512	0,396
5,6511	0,391
5,7511	0,386
5,8511	0,382
5,9511	0,377
6,0511	0,372
6,1511	0,367
6,2511	0,362
6,3510	0,357
6,4510	0,352
6,5510	0,347
6,6510	0,341
6,7510	0,336
6,8510	0,331
6,9509	0,325
7,0509	0,320
7,1509	0,314
7,2509	0,308
7,3509	0,303
7,4509	0,297
7,5508	0,291
7,6508	0,285
