Position, Run #4
Time ( s )	Position ( m )
0,0040	1,390
0,1040	1,390
0,2040	1,390
0,3040	1,390
0,4040	1,390
0,5040	1,390
0,6040	1,390
0,7040	1,390
0,8040	1,390
0,9040	1,390
1,0040	1,389
1,1040	1,389
1,2040	1,390
1,3040	1,390
1,4040	1,390
1,5040	1,390
1,6040	1,390
1,7040	1,390
1,8040	1,390
1,9040	1,390
2,0040	1,387
2,1040	1,387
2,2040	1,389
2,3040	1,387
2,4040	1,389
2,5040	1,390
2,6040	1,389
2,7040	1,389
2,8040	1,390
2,9040	1,390
3,0040	1,390
3,1040	1,390
3,2040	1,390
3,3040	1,390
3,4040	1,390
3,5040	1,390
3,6040	1,390
3,7040	1,383
3,8040	1,364
3,9039	1,342
4,0038	1,316
4,1038	1,291
4,2037	1,264
4,3036	1,239
4,4035	1,214
4,5035	1,190
4,6034	1,165
4,7033	1,141
4,8032	1,117
4,9032	1,093
5,0031	1,070
5,1030	1,046
5,2030	1,020
5,3029	0,997
5,4028	0,974
5,5028	0,951
5,6027	0,928
5,7026	0,905
5,8026	0,886
5,9025	0,865
6,0024	0,843
6,1024	0,821
6,2023	0,799
6,3023	0,777
6,4022	0,756
6,5021	0,735
6,6021	0,713
6,7020	0,693
