Position2, Run #4
Time ( s )	Position ( m )
0,0505	0,170
0,1505	0,169
0,2505	0,169
0,3505	0,169
0,4505	0,167
0,5505	0,167
0,6505	0,167
0,7505	0,167
0,8505	0,170
0,9505	0,170
1,0505	0,170
1,1505	0,170
1,2505	0,170
1,3505	0,170
1,4505	0,170
1,5505	0,169
1,6505	0,169
1,7505	0,169
1,8505	0,170
1,9505	0,170
2,0505	0,170
2,1505	0,169
2,2505	0,169
2,3505	0,169
2,4505	0,169
2,5505	0,170
2,6505	0,175
2,7506	0,198
2,8507	0,228
2,9508	0,259
3,0508	0,289
3,1509	0,319
3,2510	0,349
3,3511	0,379
3,4512	0,407
3,5513	0,437
3,6514	0,465
3,7514	0,480
3,8514	0,480
3,9514	0,477
4,0514	0,474
4,1514	0,470
4,2514	0,467
4,3513	0,463
4,4513	0,460
4,5513	0,456
4,6513	0,452
4,7513	0,449
4,8513	0,445
4,9513	0,441
5,0513	0,437
5,1513	0,433
5,2512	0,429
5,3512	0,425
5,4512	0,421
5,5512	0,417
5,6512	0,413
5,7512	0,409
5,8512	0,404
5,9512	0,400
6,0512	0,396
6,1511	0,392
6,2511	0,388
6,3511	0,383
6,4511	0,379
6,5511	0,374
6,6511	0,369
6,7511	0,365
