Position2, Run #6
Time ( s )	Position ( m )
0,0505	0,170
0,1505	0,170
0,2505	0,170
0,3505	0,170
0,4505	0,170
0,5505	0,170
0,6505	0,170
0,7505	0,170
0,8505	0,170
0,9505	0,170
1,0505	0,170
1,1505	0,170
1,2505	0,170
1,3505	0,170
1,4505	0,170
1,5505	0,170
1,6505	0,170
1,7505	0,170
1,8505	0,170
1,9505	0,170
2,0505	0,189
2,1506	0,216
2,2507	0,247
2,3508	0,277
2,4509	0,307
2,5510	0,337
2,6511	0,366
2,7512	0,396
2,8512	0,425
2,9513	0,454
3,0514	0,478
3,1514	0,486
3,2514	0,483
3,3514	0,480
3,4514	0,477
3,5514	0,474
3,6514	0,471
3,7514	0,467
3,8513	0,464
3,9513	0,461
4,0513	0,457
4,1513	0,453
4,2513	0,450
4,3513	0,446
4,4513	0,442
4,5513	0,438
4,6513	0,434
4,7513	0,430
4,8512	0,426
4,9512	0,422
5,0512	0,417
5,1512	0,413
5,2512	0,409
5,3512	0,405
5,4512	0,400
5,5512	0,396
5,6511	0,391
5,7511	0,387
5,8511	0,382
5,9511	0,377
6,0511	0,372
6,1511	0,367
6,2511	0,362
6,3510	0,356
6,4510	0,351
6,5510	0,346
6,6510	0,340
6,7510	0,335
6,8510	0,329
6,9509	0,323
7,0509	0,318
7,1509	0,311
7,2509	0,305
7,3509	0,299
7,4509	0,293
