Velocity, Run #251
Time ( s )	Velocity ( rad/s )
0,131758	5,44
0,247157	5,45
0,362376	5,45
0,477854	5,43
0,592496	5,53
0,701849	5,97
0,802505	6,53
0,895258	7,03
0,981732	7,52
1,062478	8,07
1,137762	8,65
1,208308	9,18
1,275051	9,66
1,338551	10,14
1,398928	10,68
1,456467	11,17
1,511599	11,63
1,564697	12,04
1,616424	12,26
1,667486	12,35
1,718097	12,48
1,768197	12,61
1,818028	12,61
1,867600	12,74
1,917085	12,65
1,966241	12,91
2,015617	12,54
2,065408	12,70
2,114610	12,85
2,164164	12,52
2,214010	12,69
2,263547	12,67
2,313208	12,63
2,362795	12,71
2,412441	12,60
2,462350	12,58
2,512211	12,63
2,562092	12,57
2,611886	12,67
2,662197	12,31
2,712943	12,45
2,763408	12,45
2,814001	12,39
2,864615	12,44
2,915176	12,41
2,965808	12,40
3,016395	12,44
3,067059	12,37
3,117677	12,46
3,168854	12,10
3,220492	12,24
3,271906	12,21
3,323452	12,17
3,374922	12,24
3,426483	12,13
3,478336	12,10
3,530160	12,14
3,582028	12,08
3,633831	12,17
3,686157	11,85
3,739011	11,93
3,791686	11,93
3,844401	11,91
3,897130	11,92
3,949997	11,85
4,003076	11,82
4,056153	11,85
4,109299	11,79
4,162383	11,88
4,215969	11,58
4,270074	11,65
4,324035	11,64
4,378019	11,64
4,432039	11,62
4,486196	11,58
4,540573	11,53
4,594983	11,57
4,649429	11,51
4,703828	11,59
4,758738	11,30
4,814157	11,37
4,869430	11,36
4,924715	11,37
4,980046	11,34
5,035539	11,30
5,091216	11,27
5,146911	11,30
5,202669	11,24
5,258416	11,30
5,314753	11,01
5,371629	11,08
5,428331	11,08
5,484976	11,11
5,541716	11,04
5,598745	10,99
5,655903	10,99
5,713098	10,98
5,770444	10,93
5,827781	10,98
5,885750	10,70
5,944223	10,79
6,002385	10,81
6,060547	10,79
6,118865	10,75
6,177410	10,71
6,236059	10,72
6,294762	10,69
6,353688	10,64
6,412666	10,67
6,472226	10,43
6,532281	10,50
6,592103	10,51
6,651915	10,50
6,711867	10,46
6,772041	10,42
6,832329	10,42
6,892700	10,39
6,953326	10,33
7,014036	10,36
7,075318	10,14
7,137037	10,22
7,198509	10,23
7,259995	10,21
7,321643	10,17
7,383533	10,13
7,445405	10,18
7,507523	10,05
7,570938	9,77
7,636772	9,33
7,705786	8,89
7,779550	8,18
7,859881	7,50
7,947531	6,87
8,042822	6,34
8,148797	5,57
8,273516	4,60
8,417762	4,14
8,569348	4,15
8,720727	4,15
8,872420	4,14
9,025193	4,09
9,178723	4,10
9,333600	4,02
9,490286	4,00
9,649404	3,90
9,812458	3,81
9,981067	3,65
10,158470	3,44
10,357056	2,93
10,788156	0,97
11,285534	1,81
