Velocity, Run #256
Time ( s )	Velocity ( rad/s )
0,125917	6,60
0,221259	6,58
0,316805	6,57
0,412511	6,56
0,508375	6,55
0,604424	6,53
0,700687	6,52
0,796809	6,55
0,890145	6,92
0,976681	7,64
1,055366	8,37
1,127532	9,07
1,194330	9,76
1,256500	10,47
1,314488	11,22
1,368492	12,08
1,419464	12,59
1,468367	13,12
1,515455	13,57
1,561111	13,96
1,605591	14,30
1,648993	14,66
1,691643	14,81
1,734016	14,85
1,776086	15,02
1,817914	15,02
1,859809	14,97
1,901802	14,95
1,943893	14,90
1,986116	14,86
2,028325	14,91
2,070495	14,89
2,112776	14,83
2,155237	14,76
2,197706	14,83
2,240178	14,76
2,282815	14,71
2,325521	14,71
2,368319	14,65
2,411225	14,64
2,453861	14,84
2,496638	14,54
2,539639	14,68
2,582651	14,53
2,625787	14,60
2,668931	14,53
2,712212	14,51
2,755567	14,48
2,799021	14,44
2,842486	14,47
2,886187	14,28
2,929865	14,49
2,973288	14,45
3,017004	14,29
3,060957	14,30
3,104855	14,33
3,148888	14,21
3,193137	14,19
3,237465	14,16
3,281878	14,14
3,326448	14,06
3,370737	14,32
3,415026	14,06
3,459859	13,97
3,504723	14,04
3,549555	13,99
3,594559	13,93
3,639704	13,90
3,684991	13,85
3,730370	13,85
3,775961	13,72
3,821613	13,81
3,867219	13,74
3,913806	13,24
3,962762	12,45
4,014984	11,64
4,072358	10,34
4,137057	9,15
4,210591	8,01
4,293868	7,13
4,386472	6,47
4,488785	5,84
4,600015	5,47
4,715761	5,39
4,833823	5,26
