Velocity, Run #254
Time ( s )	Velocity ( rad/s )
0,561108	3,76
0,708275	4,94
0,833571	5,09
0,956892	5,10
1,080223	5,09
1,203815	5,08
1,327595	5,07
1,451435	5,07
1,575410	5,06
1,699855	5,04
1,824406	5,05
1,948343	5,09
2,072453	5,04
2,194976	5,22
2,310354	5,69
2,414531	6,41
2,506543	7,30
2,587876	8,20
2,660463	9,16
2,725768	10,13
2,785151	11,07
2,840225	11,76
2,892882	12,10
2,944550	12,22
2,996159	12,13
3,047979	12,12
3,099817	12,12
3,151776	12,06
3,203928	12,03
3,256285	11,97
3,308625	12,04
3,361001	11,95
3,413449	12,01
3,465929	11,94
3,518600	11,92
3,571308	11,92
3,624109	11,88
3,677096	11,84
3,730304	11,78
3,783775	11,72
3,837297	11,76
3,890777	11,74
3,944303	11,74
3,997916	11,70
4,051681	11,67
4,105521	11,67
4,159206	11,74
4,213223	11,53
4,267844	11,48
4,322608	11,47
4,377303	11,51
4,432001	11,46
4,486723	11,50
4,541527	11,43
4,596554	11,41
4,651632	11,41
4,706257	11,60
4,761581	11,13
4,817668	11,28
4,873789	11,11
4,930453	11,06
4,987954	10,79
5,047529	10,31
5,111787	9,30
5,182690	8,46
5,260741	7,67
5,346715	6,98
5,445518	5,84
5,563542	4,89
5,698577	4,44
5,839426	4,48
5,979436	4,49
6,119563	4,48
6,260119	4,46
6,401207	4,44
6,542113	4,48
6,683284	4,43
6,836646	3,81
7,028203	2,88
7,427008	1,08
7,980532	1,19
