Velocity, Run #249
Time ( s )	Velocity ( rad/s )
1,992618	2,26
2,186836	5,68
2,285514	7,25
2,372113	7,26
2,458540	7,28
2,544969	7,26
2,631527	7,25
2,718223	7,24
2,805060	7,23
2,892016	7,22
2,979141	7,20
3,066378	7,20
3,153730	7,18
3,241103	7,20
3,328328	7,21
3,415590	7,19
3,503011	7,18
3,590582	7,17
3,678319	7,16
3,766227	7,14
3,854352	7,12
3,942594	7,12
4,030756	7,13
4,118886	7,13
4,207278	7,09
4,295779	7,11
4,383871	7,16
4,470274	7,39
4,553343	7,75
4,632061	8,23
4,706036	8,77
4,775700	9,28
4,842168	9,63
4,906286	9,97
4,968222	10,32
5,027872	10,76
5,085406	11,09
5,141221	11,43
5,195440	11,75
5,248196	12,07
5,299886	12,24
5,350765	12,46
5,400897	12,61
5,450179	12,89
5,498411	13,16
5,545559	13,49
5,591890	13,63
5,637570	13,88
5,682490	14,10
5,726668	14,35
5,770398	14,38
5,813881	14,52
5,856982	14,64
5,899695	14,78
5,941913	14,99
5,983526	15,21
6,024844	15,20
6,066037	15,31
6,106902	15,45
6,147436	15,56
6,187658	15,69
6,227886	15,55
6,268084	15,71
6,307940	15,82
6,347561	15,90
6,387027	15,94
6,426591	15,82
6,466290	15,84
6,505935	15,86
6,545530	15,88
6,584916	16,03
6,624495	15,72
6,664245	15,89
6,703784	15,89
6,743347	15,87
6,782876	15,92
6,822461	15,83
6,862078	15,89
6,901578	15,92
6,941105	15,87
6,980483	16,04
7,020042	15,73
7,059848	15,84
7,099553	15,81
7,139230	15,87
7,178926	15,79
7,218792	15,73
7,258727	15,74
7,298644	15,74
7,338654	15,66
7,378564	15,82
7,418688	15,50
7,459096	15,60
7,499444	15,54
7,539843	15,56
7,580265	15,53
7,620821	15,46
7,661464	15,46
7,702056	15,50
7,742712	15,41
7,783307	15,54
7,824126	15,24
7,865226	15,33
7,906279	15,28
7,947376	15,30
7,988504	15,26
8,029791	15,18
8,071219	15,15
8,112641	15,18
8,154131	15,10
8,195560	15,23
8,237213	14,94
8,279159	15,02
8,321062	14,97
8,362989	15,00
8,404977	14,93
8,447142	14,87
8,489425	14,85
8,531709	14,87
8,574060	14,80
8,616371	14,90
8,658889	14,66
8,701698	14,70
8,744500	14,66
8,787299	14,70
8,830192	14,60
8,873292	14,56
8,916476	14,54
8,959676	14,55
9,002938	14,50
9,046161	14,57
9,089607	14,35
9,133324	14,39
9,177033	14,36
9,220766	14,38
9,264571	14,31
9,308538	14,27
9,352562	14,27
9,396596	14,27
9,440708	14,22
9,484790	14,29
9,529135	14,05
9,573747	14,11
9,618305	14,09
9,662892	14,10
9,707602	14,01
9,752508	13,97
9,797479	13,97
9,842476	13,96
9,887561	13,92
9,932639	13,96
9,977963	13,77
10,023554	13,80
10,069123	13,78
10,114670	13,81
10,160345	13,70
10,206236	13,68
10,252093	13,72
10,297874	13,73
10,343736	13,67
10,389627	13,71
10,435735	13,55
10,482092	13,56
10,528530	13,50
10,574986	13,55
10,621470	13,48
10,668160	13,43
10,714961	13,42
10,761796	13,41
10,808715	13,37
10,855709	13,37
10,903082	13,16
10,950690	13,24
10,998306	13,15
11,045912	13,24
11,093506	13,16
11,141377	13,09
11,189361	13,10
11,237373	13,07
11,285524	13,02
11,333630	13,10
11,382160	12,80
11,431022	12,92
11,479724	12,88
11,528489	12,89
11,577351	12,83
11,626390	12,79
11,675519	12,78
11,724696	12,77
11,773980	12,73
11,823244	12,78
11,872883	12,54
11,922794	12,64
11,972578	12,60
12,022698	12,47
12,073709	12,17
12,127699	11,15
12,189797	9,26
12,268862	6,96
12,376004	5,07
12,501296	4,96
12,627807	4,97
12,754378	4,96
12,880969	4,97
13,007480	4,97
13,134159	4,95
13,261111	4,94
13,388379	4,93
13,515863	4,93
13,643456	4,92
13,771451	4,90
13,899712	4,90
14,028154	4,88
14,156699	4,89
14,285122	4,89
14,413661	4,88
14,542400	4,88
14,671405	4,86
14,800794	4,85
14,933860	4,60
15,075395	4,29
15,226284	4,05
15,384836	3,88
15,548448	3,80
15,714113	3,79
15,879905	3,79
16,045633	3,79
16,211642	3,78
16,381474	3,62
16,565743	3,22
16,766472	3,04
16,972890	3,04
17,179660	3,03
17,386736	3,03
17,593860	3,03
17,801252	3,03
18,009057	3,02
18,217398	3,01
18,426256	3,01
18,635503	3,00
18,845199	2,99
19,055195	2,99
19,265520	2,98
19,476054	2,99
19,686612	2,98
19,897477	2,98
20,108791	2,97
20,320693	2,96
20,533181	2,95
20,746130	2,95
20,959312	2,95
21,175204	2,87
21,396817	2,80
21,621388	2,80
