Velocity, Run #255
Time ( s )	Velocity ( rad/s )
0,206081	4,63
0,335981	5,07
0,461039	4,98
0,587374	4,97
0,714293	4,94
0,841779	4,92
0,969538	4,91
1,097562	4,90
1,225769	4,90
1,354156	4,89
1,477860	5,29
1,591766	5,77
1,692736	6,76
1,779805	7,74
1,855967	8,83
1,922940	10,01
1,982617	11,10
2,037522	11,81
2,090611	11,87
2,143677	11,82
2,196103	12,16
2,249011	11,61
2,302945	11,69
2,356661	11,70
2,410280	11,74
2,463967	11,67
2,517635	11,75
2,571371	11,64
2,625395	11,62
2,679479	11,61
2,733142	11,80
2,787266	11,42
2,842237	11,44
2,897160	11,44
2,951979	11,48
3,006835	11,42
3,061709	11,48
3,116643	11,40
3,171856	11,36
3,227163	11,36
3,282102	11,51
3,337459	11,19
3,393521	11,22
3,449574	11,20
3,505624	11,22
3,561691	11,19
3,617810	11,20
3,673991	11,16
3,730450	11,09
3,787235	11,04
3,843856	11,16
3,901652	10,60
3,962005	10,23
4,026116	9,41
4,096496	8,50
4,175110	7,55
4,265075	6,50
4,370497	5,50
4,494381	4,70
4,631977	4,44
4,774145	4,40
4,917073	4,39
5,060403	4,38
5,204666	4,33
5,350908	4,26
5,501048	4,11
5,659018	3,85
