Velocity, Run #253
Time ( s )	Velocity ( rad/s )
0,288741	4,30
0,432170	4,47
0,572789	4,47
0,713591	4,46
0,854422	4,47
0,995096	4,47
1,135949	4,45
1,277134	4,45
1,418615	4,44
1,560338	4,43
1,702347	4,42
1,844217	4,44
1,981833	4,70
2,107633	5,33
2,217792	6,13
2,314571	6,89
2,401298	7,63
2,479494	8,48
2,550021	9,38
2,614183	10,24
2,674211	10,70
2,732838	10,73
2,791447	10,71
2,850282	10,65
2,909225	10,67
2,968319	10,60
3,027460	10,65
3,086599	10,60
3,145977	10,57
3,205472	10,56
3,265060	10,53
3,324782	10,51
3,384688	10,47
3,444827	10,43
3,505059	10,44
3,565358	10,40
3,625711	10,42
3,686120	10,38
3,746752	10,34
3,807546	10,33
3,868367	10,33
3,929314	10,29
3,990519	10,24
4,052028	10,19
4,113649	10,21
4,175285	10,18
4,237049	10,17
4,298854	10,17
4,360878	10,09
4,422814	10,20
4,485029	10,00
4,547725	10,04
4,610384	10,02
4,673404	9,92
4,736584	9,97
4,799539	10,00
4,862606	9,93
4,925922	9,92
4,989478	9,86
5,053297	9,84
5,117138	9,85
5,181187	9,77
5,245742	9,69
5,310974	9,57
5,376542	9,59
5,442253	9,53
5,508410	9,47
5,575458	9,28
5,644052	9,04
5,714902	8,70
5,789505	8,16
5,870787	7,34
5,963467	6,30
6,073046	5,26
6,203753	4,42
6,354528	3,94
6,514895	3,90
