Velocity, Run #252
Time ( s )	Velocity ( rad/s )
0,142587	3,60
0,318154	3,55
0,494649	3,57
0,672803	3,49
0,854584	3,43
1,039651	3,36
1,225202	3,41
1,410413	3,38
1,595717	3,40
1,778978	3,45
1,958654	3,54
2,138679	3,44
2,324856	3,31
2,515269	3,29
2,701420	3,47
2,870644	4,00
3,021545	4,35
3,159946	4,75
3,282906	5,53
3,384505	7,02
3,470678	7,59
3,553613	7,56
3,636872	7,53
3,720280	7,54
3,803820	7,51
3,887579	7,50
3,971620	7,46
4,055928	7,45
4,140247	7,45
4,224642	7,44
4,309355	7,40
4,394546	7,35
4,480006	7,35
4,565362	7,37
4,650847	7,33
4,736643	7,32
4,822800	7,27
4,909215	7,27
4,995586	7,28
5,082011	7,26
5,168747	7,22
5,256054	7,17
5,343604	7,18
5,431111	7,18
5,518651	7,18
5,606371	7,15
5,694485	7,11
5,782911	7,10
5,871471	7,09
5,960031	7,10
6,048795	7,06
6,138144	7,00
6,227743	7,02
6,317264	7,02
6,406854	7,01
6,496716	6,97
6,586955	6,95
6,677421	6,94
6,768053	6,93
6,858816	6,92
6,949789	6,89
7,041234	6,85
7,132876	6,86
7,224476	6,85
7,316374	6,82
7,409001	6,75
