Velocity, Run #257
Time ( s )	Velocity ( rad/s )
0,089589	7,65
0,171827	7,63
0,253964	7,67
0,336061	7,64
0,418401	7,62
0,500762	7,63
0,583208	7,61
0,664115	7,93
0,741298	8,36
0,814931	8,71
0,885579	9,08
0,953118	9,53
1,017128	10,12
1,077282	10,80
1,133541	11,57
1,186042	12,40
1,235567	12,99
1,283092	13,46
1,328949	13,95
1,373034	14,57
1,415689	14,90
1,457334	15,28
1,498178	15,48
1,538741	15,49
1,578907	15,79
1,618330	16,08
1,657305	16,16
1,696115	16,22
1,734728	16,32
1,773159	16,38
1,811414	16,47
1,849365	16,64
1,887173	16,60
1,924964	16,65
1,962567	16,76
1,999938	16,86
2,037208	16,86
2,074426	16,91
2,111469	17,02
2,148308	17,10
2,184975	17,18
2,221503	17,23
2,257985	17,22
2,295541	16,27
2,334876	15,69
2,372509	17,84
2,407310	18,27
2,442657	17,30
2,479036	17,24
2,515528	17,20
2,552046	17,21
2,588497	17,26
2,624935	17,23
2,661479	17,16
2,698099	17,15
2,734597	17,28
2,771779	16,54
2,808601	17,62
2,844414	17,46
2,880809	17,07
2,917608	17,08
2,954409	17,07
2,991196	17,09
3,028106	16,95
3,065170	16,95
3,102164	17,02
3,138916	17,18
3,175751	16,94
3,212924	16,86
3,250128	16,91
3,287422	16,78
3,324697	16,93
3,361862	16,88
3,399285	16,70
3,436872	16,74
3,474360	16,79
3,511605	16,96
3,548927	16,72
3,586545	16,69
3,624252	16,64
3,662095	16,57
3,699992	16,59
3,737968	16,50
3,776121	16,44
3,814182	16,58
3,852267	16,42
3,891257	15,82
3,932085	14,98
3,975346	14,10
4,021749	13,03
4,072241	11,91
4,126908	11,10
4,185668	10,31
4,248791	9,62
4,317402	8,74
4,393905	7,75
4,480268	6,86
4,572815	6,72
4,665937	6,77
4,758909	6,74
4,852066	6,75
4,945317	6,73
5,038572	6,74
5,132066	6,70
5,228339	6,36
5,324270	6,75
5,418406	6,60
5,512327	6,78
5,607018	6,50
5,704140	6,44
5,804838	6,05
5,913250	5,56
6,031488	5,09
6,160160	4,69
