Angular Position, Run #2
Time ( s )	Angular Position ( rad )
0,0000	-0,751
0,0200	-0,713
0,0400	-0,672
0,0600	-0,628
0,0800	-0,581
0,1000	-0,531
0,1200	-0,481
0,1400	-0,426
0,1600	-0,371
0,1800	-0,314
0,2000	-0,256
0,2200	-0,198
0,2400	-0,140
0,2600	-0,080
0,2800	-0,024
0,3000	0,035
0,3200	0,091
0,3400	0,146
0,3600	0,199
0,3800	0,251
0,4000	0,300
0,4200	0,349
0,4400	0,393
0,4600	0,435
0,4800	0,474
0,5000	0,511
0,5200	0,542
0,5400	0,572
0,5600	0,598
0,5800	0,619
0,6000	0,638
0,6200	0,652
0,6400	0,663
0,6600	0,669
0,6800	0,674
0,7000	0,674
0,7200	0,669
0,7400	0,660
0,7600	0,649
0,7800	0,633
0,8000	0,614
0,8200	0,594
0,8400	0,569
0,8600	0,542
0,8800	0,512
0,9000	0,481
0,9200	0,446
0,9400	0,410
0,9600	0,372
0,9800	0,333
1,0000	0,292
1,0200	0,250
1,0400	0,207
1,0600	0,165
1,0800	0,121
1,1000	0,077
1,1200	0,033
1,1400	-0,009
1,1600	-0,053
1,1800	-0,094
1,2000	-0,135
1,2200	-0,174
1,2400	-0,212
1,2600	-0,248
1,2800	-0,283
1,3000	-0,316
1,3200	-0,347
1,3400	-0,375
1,3600	-0,401
1,3800	-0,424
1,4000	-0,445
1,4200	-0,463
1,4400	-0,478
1,4600	-0,490
1,4800	-0,500
1,5000	-0,506
1,5200	-0,509
1,5400	-0,511
1,5600	-0,509
1,5800	-0,504
1,6000	-0,495
1,6200	-0,485
1,6400	-0,471
1,6600	-0,456
1,6800	-0,438
1,7000	-0,418
1,7200	-0,396
1,7400	-0,372
1,7600	-0,346
1,7800	-0,319
1,8000	-0,289
1,8200	-0,259
1,8400	-0,229
1,8600	-0,196
1,8800	-0,163
1,9000	-0,130
1,9200	-0,097
1,9400	-0,064
1,9600	-0,031
1,9800	0,002
2,0000	0,035
2,0200	0,066
2,0400	0,097
2,0600	0,127
2,0800	0,154
2,1000	0,182
2,1200	0,207
2,1400	0,231
2,1600	0,254
2,1800	0,275
2,2000	0,292
2,2200	0,309
