Angular Position, Run #3
Time ( s )	Angular Position ( rad )
0,0000	-0,806
0,0200	-0,774
0,0400	-0,740
0,0600	-0,701
0,0800	-0,657
0,1000	-0,611
0,1200	-0,561
0,1400	-0,509
0,1600	-0,454
0,1800	-0,396
0,2000	-0,338
0,2200	-0,276
0,2400	-0,215
0,2600	-0,152
0,2800	-0,090
0,3000	-0,025
0,3200	0,038
0,3400	0,099
0,3600	0,162
0,3800	0,221
0,4000	0,280
0,4200	0,336
0,4400	0,390
0,4600	0,443
0,4800	0,492
0,5000	0,539
0,5200	0,581
0,5400	0,622
0,5600	0,658
0,5800	0,690
0,6000	0,718
0,6200	0,741
0,6400	0,762
0,6600	0,778
0,6800	0,787
0,7000	0,795
0,7200	0,796
0,7400	0,793
0,7600	0,787
0,7800	0,776
0,8000	0,760
0,8200	0,740
0,8400	0,716
0,8600	0,690
0,8800	0,658
0,9000	0,625
0,9200	0,587
0,9400	0,547
0,9600	0,504
0,9800	0,459
1,0000	0,412
1,0200	0,363
1,0400	0,311
1,0600	0,258
1,0800	0,204
1,1000	0,149
1,1200	0,094
1,1400	0,039
1,1600	-0,014
1,1800	-0,069
1,2000	-0,124
1,2200	-0,176
1,2400	-0,228
1,2600	-0,276
1,2800	-0,325
1,3000	-0,371
1,3200	-0,415
1,3400	-0,454
1,3600	-0,492
1,3800	-0,528
1,4000	-0,559
1,4200	-0,586
1,4400	-0,611
1,4600	-0,630
1,4800	-0,647
1,5000	-0,660
1,5200	-0,668
1,5400	-0,672
1,5600	-0,674
1,5800	-0,671
1,6000	-0,664
1,6200	-0,653
1,6400	-0,639
1,6600	-0,622
1,6800	-0,600
1,7000	-0,576
1,7200	-0,550
1,7400	-0,520
1,7600	-0,487
1,7800	-0,452
1,8000	-0,415
1,8200	-0,375
1,8400	-0,335
1,8600	-0,292
1,8800	-0,248
1,9000	-0,203
1,9200	-0,157
1,9400	-0,112
1,9600	-0,064
1,9800	-0,019
2,0000	0,027
2,0200	0,074
2,0400	0,118
2,0600	0,162
2,0800	0,206
2,1000	0,245
2,1200	0,286
2,1400	0,324
2,1600	0,358
2,1800	0,393
2,2000	0,424
2,2200	0,452
2,2400	0,478
2,2600	0,501
2,2800	0,522
2,3000	0,540
2,3200	0,553
2,3400	0,565
2,3600	0,572
2,3800	0,578
2,4000	0,578
2,4200	0,578
2,4400	0,572
2,4600	0,564
2,4800	0,553
2,5000	0,539
2,5200	0,522
2,5400	0,503
2,5600	0,481
2,5800	0,457
2,6000	0,429
2,6200	0,401
2,6400	0,369
2,6600	0,338
2,6800	0,303
2,7000	0,267
2,7200	0,231
2,7400	0,193
2,7600	0,156
2,7800	0,115
2,8000	0,075
2,8200	0,036
2,8400	-0,002
2,8600	-0,042
2,8800	-0,080
2,9000	-0,118
2,9200	-0,156
2,9400	-0,190
2,9600	-0,225
2,9800	-0,258
3,0000	-0,289
3,0200	-0,319
3,0400	-0,346
3,0600	-0,371
3,0800	-0,393
3,1000	-0,413
3,1200	-0,430
3,1400	-0,446
3,1600	-0,459
3,1800	-0,467
3,2000	-0,474
3,2200	-0,478
3,2400	-0,479
3,2600	-0,478
3,2800	-0,473
3,3000	-0,467
3,3200	-0,459
3,3400	-0,446
3,3600	-0,432
3,3800	-0,416
3,4000	-0,397
3,4200	-0,377
3,4400	-0,353
3,4600	-0,330
3,4800	-0,303
3,5000	-0,276
3,5200	-0,248
3,5400	-0,218
3,5600	-0,187
3,5800	-0,156
3,6000	-0,124
3,6200	-0,091
3,6400	-0,058
3,6600	-0,025
3,6800	0,006
3,7000	0,039
3,7200	0,071
3,7400	0,102
3,7600	0,132
3,7800	0,162
3,8000	0,188
3,8200	0,217
3,8400	0,242
3,8600	0,265
3,8800	0,287
3,9000	0,308
3,9200	0,327
3,9400	0,342
3,9600	0,357
3,9800	0,369
4,0000	0,380
4,0200	0,388
4,0400	0,394
4,0600	0,397
4,0800	0,399
4,1000	0,399
4,1200	0,396
4,1400	0,391
4,1600	0,383
4,1800	0,375
4,2000	0,363
4,2200	0,350
4,2400	0,336
4,2600	0,319
4,2800	0,302
4,3000	0,283
4,3200	0,262
4,3400	0,239
4,3600	0,217
4,3800	0,193
4,4000	0,168
4,4200	0,143
4,4400	0,118
4,4600	0,090
4,4800	0,063
4,5000	0,038
4,5200	0,011
4,5400	-0,016
4,5600	-0,041
4,5800	-0,068
4,6000	-0,093
4,6200	-0,116
4,6400	-0,140
4,6600	-0,162
4,6800	-0,182
4,7000	-0,203
4,7200	-0,221
4,7400	-0,239
4,7600	-0,254
4,7800	-0,269
4,8000	-0,281
4,8200	-0,291
4,8400	-0,300
4,8600	-0,308
4,8800	-0,313
4,9000	-0,316
4,9200	-0,316
4,9400	-0,316
4,9600	-0,314
4,9800	-0,309
5,0000	-0,305
5,0200	-0,297
5,0400	-0,289
5,0600	-0,278
5,0800	-0,267
5,1000	-0,253
5,1200	-0,239
5,1400	-0,225
5,1600	-0,207
5,1800	-0,190
5,2000	-0,171
5,2200	-0,152
5,2400	-0,132
5,2600	-0,113
5,2800	-0,091
5,3000	-0,071
5,3200	-0,050
5,3400	-0,028
5,3600	-0,008
5,3800	0,013
5,4000	0,035
5,4200	0,055
5,4400	0,074
5,4600	0,093
5,4800	0,112
5,5000	0,129
5,5200	0,145
5,5400	0,160
5,5600	0,174
5,5800	0,188
5,6000	0,199
5,6200	0,210
5,6400	0,220
5,6600	0,228
5,6800	0,234
5,7000	0,239
5,7200	0,243
5,7400	0,245
5,7600	0,245
5,7800	0,245
5,8000	0,243
5,8200	0,240
5,8400	0,237
5,8600	0,231
5,8800	0,225
5,9000	0,215
5,9200	0,207
5,9400	0,198
5,9600	0,187
5,9800	0,176
6,0000	0,163
6,0200	0,151
6,0400	0,137
6,0600	0,123
6,0800	0,108
6,1000	0,093
6,1200	0,077
6,1400	0,063
6,1600	0,046
6,1800	0,030
6,2000	0,014
6,2200	-0,002
6,2400	-0,017
6,2600	-0,033
6,2800	-0,047
6,3000	-0,063
6,3200	-0,075
6,3400	-0,090
6,3600	-0,102
6,3800	-0,115
6,4000	-0,126
6,4200	-0,137
6,4400	-0,146
6,4600	-0,156
6,4800	-0,163
6,5000	-0,170
6,5200	-0,174
6,5400	-0,179
6,5600	-0,182
6,5800	-0,184
6,6000	-0,187
6,6200	-0,187
6,6400	-0,185
6,6600	-0,184
6,6800	-0,181
6,7000	-0,178
