Angular Position, Run #4
Time ( s )	Angular Position ( rad )
0,0000	-0,869
0,0200	-0,848
0,0400	-0,825
0,0600	-0,796
0,0800	-0,763
0,1000	-0,727
0,1200	-0,688
0,1400	-0,644
0,1600	-0,598
0,1800	-0,550
0,2000	-0,498
0,2200	-0,445
0,2400	-0,390
0,2600	-0,333
0,2800	-0,275
0,3000	-0,217
0,3200	-0,157
0,3400	-0,097
0,3600	-0,039
0,3800	0,020
0,4000	0,079
0,4200	0,134
0,4400	0,190
0,4600	0,242
0,4800	0,294
0,5000	0,342
0,5200	0,390
0,5400	0,434
0,5600	0,473
0,5800	0,511
0,6000	0,545
0,6200	0,575
0,6400	0,603
0,6600	0,627
0,6800	0,646
0,7000	0,663
0,7200	0,674
0,7400	0,682
0,7600	0,686
0,7800	0,688
0,8000	0,683
0,8200	0,677
0,8400	0,666
0,8600	0,652
0,8800	0,633
0,9000	0,613
0,9200	0,589
0,9400	0,562
0,9600	0,533
0,9800	0,501
1,0000	0,467
1,0200	0,430
1,0400	0,393
1,0600	0,353
1,0800	0,311
1,1000	0,269
1,1200	0,225
1,1400	0,181
1,1600	0,137
1,1800	0,091
1,2000	0,047
1,2200	0,003
1,2400	-0,041
1,2600	-0,083
1,2800	-0,124
1,3000	-0,167
1,3200	-0,204
1,3400	-0,242
1,3600	-0,278
1,3800	-0,313
1,4000	-0,344
1,4200	-0,374
1,4400	-0,401
1,4600	-0,426
1,4800	-0,448
1,5000	-0,467
1,5200	-0,482
1,5400	-0,495
1,5600	-0,506
1,5800	-0,512
1,6000	-0,517
1,6200	-0,517
1,6400	-0,517
1,6600	-0,512
1,6800	-0,504
1,7000	-0,493
1,7200	-0,481
1,7400	-0,465
1,7600	-0,448
1,7800	-0,427
1,8000	-0,405
1,8200	-0,380
1,8400	-0,355
1,8600	-0,327
1,8800	-0,298
1,9000	-0,267
1,9200	-0,236
1,9400	-0,204
1,9600	-0,171
1,9800	-0,137
2,0000	-0,104
2,0200	-0,069
2,0400	-0,036
2,0600	-0,003
2,0800	0,030
2,1000	0,063
2,1200	0,094
2,1400	0,124
2,1600	0,154
2,1800	0,182
2,2000	0,209
2,2200	0,234
2,2400	0,256
2,2600	0,278
2,2800	0,297
2,3000	0,314
2,3200	0,330
2,3400	0,342
2,3600	0,353
2,3800	0,363
2,4000	0,369
2,4200	0,374
2,4400	0,375
2,4600	0,375
2,4800	0,374
2,5000	0,371
2,5200	0,364
2,5400	0,357
2,5600	0,347
2,5800	0,336
2,6000	0,324
2,6200	0,309
2,6400	0,294
2,6600	0,276
2,6800	0,258
2,7000	0,239
2,7200	0,218
2,7400	0,198
2,7600	0,176
2,7800	0,154
2,8000	0,130
2,8200	0,108
2,8400	0,083
2,8600	0,060
2,8800	0,036
2,9000	0,013
2,9200	-0,011
2,9400	-0,033
2,9600	-0,055
2,9800	-0,077
3,0000	-0,097
3,0200	-0,118
3,0400	-0,137
3,0600	-0,156
3,0800	-0,173
3,1000	-0,188
3,1200	-0,204
3,1400	-0,217
3,1600	-0,228
3,1800	-0,239
3,2000	-0,248
3,2200	-0,254
3,2400	-0,261
3,2600	-0,265
3,2800	-0,269
3,3000	-0,269
3,3200	-0,269
3,3400	-0,267
3,3600	-0,265
3,3800	-0,261
3,4000	-0,254
3,4200	-0,247
3,4400	-0,237
3,4600	-0,228
3,4800	-0,217
3,5000	-0,204
3,5200	-0,192
3,5400	-0,179
3,5600	-0,163
3,5800	-0,148
3,6000	-0,132
3,6200	-0,116
3,6400	-0,099
3,6600	-0,082
3,6800	-0,066
3,7000	-0,047
3,7200	-0,030
3,7400	-0,014
3,7600	0,003
3,7800	0,020
3,8000	0,036
3,8200	0,052
3,8400	0,066
3,8600	0,080
3,8800	0,094
3,9000	0,107
3,9200	0,119
3,9400	0,130
3,9600	0,140
3,9800	0,149
4,0000	0,157
4,0200	0,165
4,0400	0,170
4,0600	0,174
4,0800	0,178
4,1000	0,179
4,1200	0,181
4,1400	0,181
4,1600	0,179
4,1800	0,178
4,2000	0,174
4,2200	0,171
4,2400	0,167
4,2600	0,162
4,2800	0,156
4,3000	0,148
4,3200	0,141
4,3400	0,134
4,3600	0,124
4,3800	0,116
4,4000	0,107
4,4200	0,096
4,4400	0,086
4,4600	0,077
4,4800	0,064
4,5000	0,053
4,5200	0,042
4,5400	0,033
4,5600	0,022
4,5800	0,009
4,6000	0,000
4,6200	-0,011
4,6400	-0,022
4,6600	-0,031
4,6800	-0,041
4,7000	-0,050
4,7200	-0,060
4,7400	-0,068
4,7600	-0,075
4,7800	-0,083
4,8000	-0,090
4,8200	-0,096
4,8400	-0,101
4,8600	-0,105
4,8800	-0,110
4,9000	-0,113
4,9200	-0,116
4,9400	-0,118
4,9600	-0,118
4,9800	-0,119
5,0000	-0,119
5,0200	-0,119
5,0400	-0,118
5,0600	-0,116
5,0800	-0,113
5,1000	-0,110
5,1200	-0,105
5,1400	-0,102
5,1600	-0,097
5,1800	-0,091
5,2000	-0,085
5,2200	-0,080
5,2400	-0,072
5,2600	-0,066
5,2800	-0,060
5,3000	-0,053
5,3200	-0,046
5,3400	-0,038
5,3600	-0,030
5,3800	-0,022
5,4000	-0,016
5,4200	-0,008
5,4400	0,000
5,4600	0,006
5,4800	0,014
5,5000	0,020
5,5200	0,027
5,5400	0,033
5,5600	0,039
5,5800	0,044
5,6000	0,049
5,6200	0,053
5,6400	0,057
5,6600	0,060
5,6800	0,064
5,7000	0,066
5,7200	0,069
5,7400	0,071
5,7600	0,072
5,7800	0,072
5,8000	0,072
5,8200	0,072
5,8400	0,072
5,8600	0,072
5,8800	0,071
5,9000	0,068
5,9200	0,066
5,9400	0,064
5,9600	0,061
5,9800	0,058
6,0000	0,055
6,0200	0,052
6,0400	0,049
6,0600	0,046
6,0800	0,041
6,1000	0,036
6,1200	0,033
6,1400	0,028
6,1600	0,024
6,1800	0,020
6,2000	0,016
6,2200	0,011
6,2400	0,006
6,2600	0,002
6,2800	-0,003
6,3000	-0,006
6,3200	-0,011
6,3400	-0,014
6,3600	-0,017
6,3800	-0,022
6,4000	-0,025
6,4200	-0,028
6,4400	-0,031
6,4600	-0,035
6,4800	-0,036
6,5000	-0,039
6,5200	-0,041
6,5400	-0,042
6,5600	-0,042
6,5800	-0,044
6,6000	-0,046
6,6200	-0,046
6,6400	-0,046
6,6600	-0,046
6,6800	-0,046
6,7000	-0,046
6,7200	-0,046
6,7400	-0,044
6,7600	-0,042
6,7800	-0,041
6,8000	-0,041
6,8200	-0,039
6,8400	-0,036
6,8600	-0,035
6,8800	-0,033
6,9000	-0,030
6,9200	-0,028
6,9400	-0,027
6,9600	-0,024
6,9800	-0,022
7,0000	-0,019
7,0200	-0,017
7,0400	-0,014
7,0600	-0,013
7,0800	-0,009
7,1000	-0,008
7,1200	-0,005
7,1400	-0,003
7,1600	-0,002
7,1800	0,002
7,2000	0,003
7,2200	0,005
7,2400	0,006
7,2600	0,008
7,2800	0,009
7,3000	0,009
7,3200	0,011
7,3400	0,013
7,3600	0,014
7,3800	0,014
7,4000	0,014
7,4200	0,014
7,4400	0,014
7,4600	0,014
7,4800	0,014
7,5000	0,014
7,5200	0,014
7,5400	0,014
7,5600	0,014
7,5800	0,014
7,6000	0,014
7,6200	0,013
7,6400	0,013
7,6600	0,011
7,6800	0,011
7,7000	0,009
7,7200	0,009
7,7400	0,009
7,7600	0,008
7,7800	0,008
7,8000	0,008
7,8200	0,006
7,8400	0,005
7,8600	0,005
7,8800	0,003
7,9000	0,003
7,9200	0,003
7,9400	0,002
7,9600	0,002
7,9800	0,002
8,0000	0,000
8,0200	0,000
8,0400	-0,002
8,0600	-0,002
8,0800	-0,002
8,1000	-0,003
8,1200	-0,003
8,1400	-0,003
8,1600	-0,003
8,1800	-0,003
8,2000	-0,003
8,2200	-0,003
8,2400	-0,003
8,2600	-0,003
8,2800	-0,003
8,3000	-0,003
