Angular Position, Run #3
Time ( s )	Angular Position ( rad )
6,6600	-0,653
6,6800	-0,649
6,7000	-0,639
6,7200	-0,628
6,7400	-0,614
6,7600	-0,595
6,7800	-0,575
6,8000	-0,551
6,8200	-0,526
6,8400	-0,498
6,8600	-0,467
6,8800	-0,434
6,9000	-0,399
6,9200	-0,361
6,9400	-0,324
6,9600	-0,284
6,9800	-0,243
7,0000	-0,201
7,0200	-0,159
7,0400	-0,116
7,0600	-0,072
7,0800	-0,030
7,1000	0,013
7,1200	0,055
7,1400	0,096
7,1600	0,137
7,1800	0,176
7,2000	0,214
7,2200	0,250
7,2400	0,284
7,2600	0,317
7,2800	0,347
7,3000	0,374
7,3200	0,401
7,3400	0,424
7,3600	0,443
7,3800	0,460
7,4000	0,474
7,4200	0,487
7,4400	0,495
7,4600	0,500
7,4800	0,503
7,5000	0,503
7,5200	0,498
7,5400	0,492
7,5600	0,481
7,5800	0,468
7,6000	0,452
7,6200	0,434
7,6400	0,412
7,6600	0,388
7,6800	0,361
7,7000	0,335
7,7200	0,305
7,7400	0,272
7,7600	0,239
7,7800	0,203
7,8000	0,167
7,8200	0,129
7,8400	0,090
7,8600	0,049
7,8800	0,009
7,9000	-0,031
7,9200	-0,072
7,9400	-0,112
7,9600	-0,152
7,9800	-0,192
8,0000	-0,231
8,0200	-0,269
8,0400	-0,305
8,0600	-0,339
8,0800	-0,374
8,1000	-0,405
8,1200	-0,435
8,1400	-0,462
8,1600	-0,487
8,1800	-0,509
8,2000	-0,529
8,2200	-0,547
8,2400	-0,561
8,2600	-0,572
8,2800	-0,580
8,3000	-0,586
8,3200	-0,587
8,3400	-0,587
8,3600	-0,583
8,3800	-0,576
8,4000	-0,567
8,4200	-0,554
8,4400	-0,539
8,4600	-0,522
8,4800	-0,501
8,5000	-0,479
8,5200	-0,456
8,5400	-0,427
8,5600	-0,399
8,5800	-0,368
8,6000	-0,336
8,6200	-0,302
8,6400	-0,267
8,6600	-0,231
8,6800	-0,193
8,7000	-0,156
8,7200	-0,118
8,7400	-0,080
8,7600	-0,042
8,7800	-0,005
8,8000	0,033
8,8200	0,069
8,8400	0,105
8,8600	0,141
8,8800	0,174
8,9000	0,206
8,9200	0,237
8,9400	0,267
8,9600	0,292
8,9800	0,317
9,0000	0,341
9,0200	0,361
9,0400	0,380
9,0600	0,396
9,0800	0,410
9,1000	0,419
9,1200	0,427
9,1400	0,432
9,1600	0,435
9,1800	0,435
9,2000	0,432
9,2200	0,426
9,2400	0,418
9,2600	0,407
9,2800	0,393
9,3000	0,379
9,3200	0,360
9,3400	0,339
9,3600	0,317
9,3800	0,292
9,4000	0,267
9,4200	0,239
9,4400	0,210
9,4600	0,179
9,4800	0,148
9,5000	0,115
9,5200	0,080
9,5400	0,046
9,5600	0,011
9,5800	-0,024
9,6000	-0,060
9,6200	-0,096
9,6400	-0,130
9,6600	-0,165
9,6800	-0,199
9,7000	-0,232
