Position, Run #9
Time ( s )	Position ( m )
0,0041	1,422
0,1042	1,448
0,2043	1,472
0,3043	1,492
0,4044	1,515
0,5045	1,545
0,6045	1,564
0,7046	1,584
0,8047	1,613
0,9047	1,633
1,0048	1,655
1,1049	1,681
1,2050	1,704
1,3050	1,727
1,4051	1,749
1,5052	1,775
1,6052	1,794
1,7053	1,816
1,8053	1,835
1,9054	1,857
2,0055	1,879
2,1055	1,900
2,2056	1,917
2,3056	1,911
2,4055	1,904
2,5055	1,898
2,6055	1,891
2,7055	1,885
2,8055	1,878
2,9054	1,871
3,0054	1,864
3,1054	1,857
3,2054	1,849
3,3053	1,839
3,4053	1,834
3,5053	1,827
3,6053	1,820
3,7053	1,813
3,8052	1,804
3,9052	1,796
4,0052	1,788
4,1052	1,780
4,2051	1,771
4,3051	1,763
4,4051	1,755
4,5051	1,746
4,6051	1,738
4,7050	1,730
4,8050	1,721
4,9050	1,710
5,0049	1,701
5,1049	1,692
5,2049	1,684
5,3049	1,674
5,4048	1,665
5,5048	1,656
5,6048	1,647
5,7048	1,637
