Position, Run #6
Time ( s )	Position ( m )
0,0043	1,465
0,1043	1,492
0,2044	1,516
0,3045	1,539
0,4045	1,562
0,5046	1,592
0,6047	1,609
0,7047	1,628
0,8048	1,657
0,9049	1,677
1,0049	1,700
1,1050	1,733
1,2051	1,746
1,3051	1,768
1,4052	1,798
1,5053	1,816
1,6053	1,834
1,7054	1,853
1,8055	1,877
1,9055	1,902
2,0056	1,920
2,1056	1,912
2,2055	1,906
2,3055	1,899
2,4055	1,892
2,5055	1,885
2,6055	1,878
2,7054	1,871
2,8054	1,863
2,9054	1,856
3,0054	1,846
3,1053	1,838
3,2053	1,833
3,3053	1,826
3,4053	1,818
3,5053	1,810
3,6052	1,803
3,7052	1,794
3,8052	1,786
3,9052	1,778
4,0051	1,770
4,1051	1,761
4,2051	1,754
4,3051	1,745
4,4050	1,736
4,5050	1,728
4,6050	1,719
4,7050	1,710
4,8049	1,702
4,9049	1,691
5,0049	1,682
5,1049	1,673
5,2048	1,664
5,3048	1,655
