Position, Run #5
Time ( s )	Position ( m )
0,0053	1,822
0,1053	1,839
0,2054	1,859
0,3055	1,879
0,4055	1,899
0,5056	1,917
0,6056	1,911
0,7055	1,905
0,8055	1,899
0,9055	1,892
1,0055	1,885
1,1055	1,879
1,2054	1,869
1,3054	1,862
1,4054	1,857
1,5054	1,850
1,6054	1,843
1,7053	1,835
1,8053	1,828
1,9053	1,820
2,0053	1,813
2,1052	1,805
2,2052	1,797
2,3052	1,789
2,4052	1,781
2,5052	1,773
2,6051	1,765
2,7051	1,757
2,8051	1,748
2,9051	1,740
3,0050	1,732
3,1050	1,724
3,2050	1,716
3,3050	1,707
3,4049	1,696
3,5049	1,688
3,6049	1,679
3,7049	1,671
