Position, Run #9
Time ( s )	Position ( m )
0,0034	1,172
0,1034	1,172
0,2034	1,172
0,3034	1,172
0,4034	1,172
0,5034	1,172
0,6034	1,166
0,7034	1,167
0,8034	1,173
0,9034	1,177
1,0034	1,180
1,1034	1,185
1,2034	1,185
1,3035	1,187
1,4034	1,187
1,5034	1,186
1,6034	1,175
1,7034	1,174
1,8034	1,185
1,9034	1,185
2,0034	1,185
2,1034	1,185
2,2034	1,185
2,3034	1,185
2,4034	1,185
2,5034	1,185
2,6034	1,184
2,7034	1,184
2,8034	1,183
2,9034	1,182
3,0034	1,181
3,1034	1,181
3,2034	1,180
3,3034	1,180
3,4034	1,181
3,5034	1,178
3,6034	1,182
3,7034	1,182
3,8034	1,178
3,9033	1,136
4,0031	1,068
4,1029	1,000
4,2027	0,932
4,3025	0,864
4,4023	0,797
4,5021	0,729
4,6019	0,663
4,7017	0,597
