Position, Run #10
Time ( s )	Position ( m )
0,0034	1,170
0,1034	1,170
0,2034	1,170
0,3034	1,170
0,4034	1,163
0,5034	1,174
0,6034	1,173
0,7034	1,181
0,8034	1,184
0,9034	1,180
1,0034	1,185
1,1034	1,180
1,2034	1,184
1,3034	1,184
1,4034	1,184
1,5034	1,184
1,6034	1,177
1,7034	1,174
1,8034	1,176
1,9034	1,180
2,0034	1,176
2,1034	1,180
2,2034	1,180
2,3034	1,180
2,4034	1,184
2,5034	1,184
2,6034	1,184
2,7034	1,181
2,8034	1,185
2,9034	1,181
3,0034	1,186
3,1034	1,186
3,2034	1,184
3,3033	1,149
3,4031	1,083
3,5030	1,016
3,6028	0,949
3,7026	0,882
3,8024	0,816
3,9022	0,750
4,0020	0,685
4,1018	0,620
4,2016	0,557
4,3014	0,493
4,4013	0,431
4,5011	0,369
4,6009	0,307
4,7007	0,246
4,8006	0,197
4,9005	0,160
5,0006	0,200
5,1007	0,243
