Position, Run #3
Time ( s )	Position ( m )
0,0034	1,182
0,1034	1,182
0,2034	1,182
0,3034	1,182
0,4034	1,182
0,5034	1,183
0,6034	1,176
0,7034	1,182
0,8034	1,177
0,9034	1,176
1,0034	1,175
1,1034	1,167
1,2034	1,159
1,3034	1,170
1,4034	1,171
1,5034	1,171
1,6034	1,171
1,7034	1,171
1,8034	1,171
1,9034	1,171
2,0034	1,171
2,1034	1,171
2,2034	1,171
2,3034	1,171
2,4034	1,171
2,5034	1,171
2,6034	1,171
2,7034	1,171
2,8034	1,171
2,9034	1,171
3,0034	1,171
3,1034	1,171
3,2034	1,161
3,3034	1,164
3,4034	1,159
3,5034	1,163
3,6034	1,159
3,7034	1,160
3,8034	1,160
3,9034	1,157
4,0034	1,160
4,1034	1,160
4,2034	1,160
4,3034	1,163
4,4034	1,171
4,5034	1,173
4,6034	1,174
4,7034	1,174
4,8034	1,174
4,9034	1,174
5,0034	1,173
5,1033	1,145
5,2031	1,080
5,3029	1,013
5,4027	0,946
5,5026	0,879
5,6024	0,813
5,7022	0,746
5,8020	0,680
5,9018	0,615
6,0016	0,550
6,1014	0,486
6,2012	0,422
6,3010	0,359
6,4009	0,296
6,5007	0,238
6,6005	0,184
6,7005	0,159
6,8006	0,212
6,9007	0,257
7,0009	0,312
7,1011	0,367
7,2012	0,421
7,3014	0,476
7,4015	0,531
7,5017	0,586
7,6019	0,640
7,7020	0,695
7,8022	0,750
7,9023	0,804
8,0025	0,858
8,1027	0,912
8,2028	0,958
8,3028	0,961
8,4028	0,949
8,5027	0,937
8,6027	0,922
8,7027	0,913
8,8026	0,901
8,9026	0,889
9,0026	0,878
9,1025	0,867
9,2025	0,856
9,3025	0,845
9,4024	0,834
9,5024	0,823
