Position, Run #5
Time ( s )	Position ( m )
0,0034	1,171
0,1034	1,171
0,2034	1,171
0,3034	1,171
0,4034	1,171
0,5034	1,171
0,6034	1,164
0,7034	1,170
0,8034	1,171
0,9034	1,164
1,0034	1,170
1,1034	1,170
1,2034	1,171
1,3034	1,167
1,4034	1,159
1,5034	1,171
1,6034	1,171
1,7034	1,171
1,8034	1,171
1,9034	1,171
2,0034	1,171
2,1034	1,171
2,2034	1,171
2,3034	1,171
2,4034	1,170
2,5034	1,162
2,6034	1,153
2,7034	1,156
2,8034	1,152
2,9034	1,153
3,0034	1,155
3,1034	1,171
3,2034	1,162
3,3033	1,122
3,4031	1,070
3,5030	1,019
3,6028	0,968
3,7027	0,917
3,8025	0,866
3,9024	0,816
4,0022	0,765
4,1021	0,715
4,2019	0,665
4,3018	0,616
4,4016	0,567
4,5015	0,518
4,6014	0,469
4,7012	0,421
