Position, Run #2
Time ( s )	Position ( m )
0,0034	1,162
0,1034	1,172
0,2034	1,173
0,3034	1,173
0,4034	1,173
0,5034	1,162
0,6034	1,168
0,7034	1,172
0,8034	1,170
0,9034	1,165
1,0034	1,164
1,1034	1,164
1,2034	1,166
1,3034	1,159
1,4034	1,167
1,5034	1,167
1,6034	1,167
1,7034	1,164
1,8034	1,168
1,9034	1,168
2,0034	1,168
2,1034	1,168
2,2034	1,168
2,3034	1,168
2,4034	1,167
2,5034	1,167
2,6034	1,167
2,7034	1,167
2,8034	1,167
2,9034	1,167
3,0034	1,167
3,1034	1,168
3,2034	1,168
3,3034	1,168
3,4034	1,168
3,5034	1,168
3,6034	1,167
3,7033	1,133
3,8031	1,068
3,9029	1,002
4,0027	0,936
4,1025	0,870
4,2023	0,804
4,3021	0,739
4,4020	0,674
4,5018	0,610
4,6016	0,547
4,7014	0,484
4,8012	0,421
4,9010	0,360
5,0009	0,298
5,1007	0,241
5,2005	0,188
5,3005	0,160
5,4006	0,206
5,5007	0,249
5,6009	0,303
5,7010	0,357
5,8012	0,411
5,9013	0,464
6,0015	0,517
6,1017	0,570
6,2018	0,623
6,3020	0,676
6,4021	0,729
6,5023	0,783
6,6024	0,836
6,7026	0,889
6,8027	0,940
6,9028	0,965
7,0028	0,955
7,1027	0,944
7,2027	0,933
7,3027	0,919
7,4026	0,910
7,5026	0,900
7,6026	0,889
7,7026	0,878
7,8025	0,868
7,9025	0,858
