t	Temperature 
t/s	T/°C

1870,000	25,0
1875,000	24,9
1880,000	24,7
1885,000	24,6
1890,000	24,5
1895,000	24,4
1900,000	24,2
1905,000	24,1
1910,000	24,0
1915,000	23,9
1920,000	23,8
1925,000	23,8
1930,000	23,7
1935,000	23,6
1940,000	23,5
1945,000	23,4
1950,000	23,4
1955,000	23,3
1960,000	23,3
1965,000	23,2
1970,000	23,2
1975,000	23,1
1980,000	23,0
1985,000	23,0
1990,000	22,9
1995,000	22,9
2000,000	22,8
2005,000	22,8
2010,000	22,7
2015,000	22,7
2020,000	22,6
2025,000	22,6
2030,000	22,6
2035,000	22,6
2040,000	22,6
2045,000	22,6
2050,000	22,6
2055,000	22,6
2060,000	22,6
2065,000	22,5
2070,000	22,5
2075,000	22,5
2080,000	22,5
2085,000	22,5
2090,000	22,5
2095,000	24,9
2100,000	26,4
2105,000	26,9
2110,000	27,2
2115,000	27,3
2120,000	27,3
2125,000	27,3
2130,000	27,4
2135,000	27,3
2140,000	27,3
2145,000	27,3
2150,000	27,3
2155,000	27,3
2160,000	27,3
2165,000	27,1
2170,000	52,1
2175,000	59,7
2180,000	62,4
2185,000	63,6
2190,000	64,4
2195,000	64,6
2200,000	64,4
2205,000	63,9
2210,000	61,5
2215,000	56,7
2220,000	48,6
2225,000	39,5
2230,000	37,4
2235,000	36,8
2240,000	36,6
2245,000	36,5
2250,000	36,5
2255,000	36,5
2260,000	36,5
2265,000	36,4
2270,000	36,5
2275,000	36,4
2280,000	36,4
2285,000	36,4
2290,000	36,4
2295,000	36,4
2300,000	36,4
2305,000	36,4
2310,000	36,4
2315,000	36,4
2320,000	36,4
2325,000	36,4
2330,000	36,4
2335,000	36,4
2340,000	36,4
2345,000	36,4
2350,000	36,4
2355,000	36,4
2360,000	36,4
2365,000	36,4
2370,000	36,4
2375,000	36,3
2380,000	36,3
2385,000	36,3
2390,000	36,3
2395,000	36,3
2400,000	36,3
2405,000	36,3
2410,000	35,2
2415,000	34,1
2420,000	33,3
2425,000	32,6
2430,000	31,9
2435,000	31,3
2440,000	30,7
2445,000	30,2
2450,000	29,7
2455,000	29,3
2460,000	28,9
2465,000	28,6
2470,000	28,2
2475,000	27,8
2480,000	27,4
2485,000	27,1
2490,000	26,8
2495,000	26,6
2500,000	26,3
2505,000	26,1
2510,000	25,9
2515,000	25,6
2520,000	25,5
2525,000	25,3
2530,000	25,1
2535,000	24,9
2540,000	24,8
2545,000	24,6
2550,000	24,5
2555,000	24,3
2560,000	24,2
