Position, Run #1
Time ( s )	Position ( m )
0,0034	1,174
0,1034	1,174
0,2034	1,174
0,3034	1,174
0,4034	1,174
0,5034	1,174
0,6034	1,175
0,7034	1,175
0,8034	1,175
0,9034	1,175
1,0034	1,175
1,1034	1,175
1,2034	1,175
1,3034	1,176
1,4034	1,176
1,5034	1,176
1,6034	1,176
1,7034	1,175
1,8034	1,176
1,9034	1,176
2,0034	1,176
2,1034	1,176
2,2034	1,176
2,3034	1,176
2,4034	1,176
2,5034	1,176
2,6034	1,176
2,7034	1,176
2,8034	1,176
2,9034	1,176
3,0034	1,176
3,1034	1,176
3,2034	1,176
3,3034	1,176
3,4034	1,176
3,5034	1,176
3,6034	1,176
3,7034	1,175
3,8034	1,153
3,9032	1,094
4,0030	1,030
4,1028	0,968
4,2026	0,906
4,3025	0,849
4,4023	0,788
4,5021	0,727
4,6019	0,666
4,7018	0,606
4,8016	0,547
4,9014	0,487
5,0012	0,428
5,1011	0,371
5,2009	0,313
5,3007	0,256
5,4006	0,206
5,5005	0,164
5,6006	0,193
5,7007	0,239
5,8009	0,293
5,9010	0,346
6,0012	0,399
6,1013	0,453
6,2015	0,507
6,3016	0,561
6,4018	0,614
6,5019	0,668
6,6021	0,722
