Position, Run #6
Time ( s )	Position ( m )
0,0034	1,176
0,1034	1,176
0,2034	1,176
0,3034	1,175
0,4034	1,175
0,5034	1,176
0,6034	1,175
0,7034	1,175
0,8034	1,176
0,9034	1,175
1,0034	1,176
1,1034	1,175
1,2034	1,176
1,3034	1,175
1,4034	1,175
1,5034	1,176
1,6034	1,176
1,7034	1,175
1,8034	1,176
1,9034	1,176
2,0034	1,176
2,1034	1,175
2,2034	1,176
2,3034	1,175
2,4034	1,176
2,5034	1,175
2,6034	1,175
2,7034	1,176
2,8034	1,176
2,9034	1,176
3,0034	1,176
3,1034	1,175
3,2034	1,175
3,3034	1,176
3,4034	1,176
3,5034	1,175
3,6034	1,175
3,7034	1,175
3,8034	1,175
3,9034	1,176
4,0034	1,176
4,1034	1,176
4,2034	1,176
4,3034	1,176
4,4034	1,175
4,5034	1,175
4,6034	1,176
4,7034	1,176
4,8034	1,175
4,9034	1,175
5,0034	1,175
5,1034	1,175
5,2034	1,175
5,3034	1,175
5,4034	1,175
5,5034	1,175
5,6034	1,175
5,7034	1,175
5,8034	1,175
5,9034	1,175
6,0034	1,175
6,1034	1,175
6,2034	1,175
6,3034	1,176
6,4034	1,175
6,5034	1,176
6,6034	1,175
6,7034	1,175
6,8034	1,176
6,9034	1,175
7,0034	1,175
7,1034	1,176
7,2034	1,175
7,3034	1,176
7,4034	1,175
7,5034	1,175
7,6034	1,176
7,7034	1,176
7,8034	1,175
7,9034	1,176
8,0034	1,175
8,1034	1,175
8,2034	1,175
8,3034	1,175
8,4034	1,175
8,5034	1,175
8,6034	1,175
8,7034	1,175
8,8034	1,172
8,9033	1,131
9,0031	1,070
9,1029	1,008
9,2027	0,945
9,3026	0,887
9,4024	0,827
9,5022	0,767
9,6021	0,706
9,7019	0,647
9,8017	0,587
9,9015	0,527
10,0014	0,468
10,1012	0,409
10,2010	0,351
10,3009	0,293
10,4007	0,235
10,5005	0,189
10,6005	0,167
10,7006	0,206
10,8008	0,260
10,9009	0,314
11,0011	0,368
11,1012	0,421
11,2014	0,475
11,3015	0,530
11,4017	0,584
11,5019	0,638
11,6020	0,692
11,7022	0,747
11,8023	0,801
11,9025	0,855
12,0026	0,908
12,1028	0,963
12,2030	1,020
12,3031	1,074
12,4033	1,128
12,5034	1,180
12,6034	1,180
12,7034	1,174
12,8034	1,173
12,9034	1,172
13,0034	1,171
13,1034	1,170
13,2034	1,169
13,3034	1,168
13,4034	1,168
13,5034	1,168
13,6034	1,168
13,7034	1,168
13,8034	1,168
