Position, Run #4
Time ( s )	Position ( m )
0,0034	1,185
0,1034	1,185
0,2034	1,185
0,3034	1,185
0,4034	1,185
0,5034	1,185
0,6034	1,185
0,7034	1,185
0,8034	1,185
0,9034	1,185
1,0034	1,185
1,1034	1,185
1,2034	1,185
1,3034	1,185
1,4034	1,185
1,5034	1,185
1,6034	1,185
1,7034	1,185
1,8034	1,185
1,9034	1,185
2,0034	1,185
2,1034	1,185
2,2034	1,185
2,3034	1,185
2,4034	1,185
2,5034	1,185
2,6034	1,183
2,7033	1,146
2,8032	1,084
2,9030	1,022
3,0028	0,958
3,1026	0,899
3,2024	0,838
3,3023	0,776
3,4021	0,715
3,5019	0,655
3,6017	0,595
3,7016	0,535
3,8014	0,476
3,9012	0,417
4,0010	0,359
4,1009	0,301
4,2007	0,244
4,3006	0,197
4,4005	0,163
4,5006	0,201
4,6007	0,251
4,7009	0,304
4,8010	0,358
4,9012	0,411
5,0014	0,465
5,1015	0,520
5,2017	0,574
5,3018	0,628
5,4020	0,682
5,5021	0,737
5,6023	0,791
5,7025	0,845
5,8026	0,896
5,9028	0,954
6,0029	1,008
6,1031	1,063
6,2032	1,117
6,3034	1,171
6,4035	1,213
6,5035	1,199
6,6035	1,198
6,7035	1,198
6,8035	1,198
6,9035	1,198
7,0035	1,199
7,1035	1,198
7,2035	1,198
