Position2, Run #10
Time ( s )	Position ( m )
0,0505	0,161
0,1505	0,160
0,2505	0,160
0,3505	0,160
0,4505	0,160
0,5505	0,160
0,6505	0,160
0,7505	0,160
0,8505	0,160
0,9505	0,160
1,0505	0,160
1,1505	0,160
1,2505	0,161
1,3505	0,161
1,4505	0,161
1,5505	0,173
1,6507	0,235
1,7509	0,305
1,8511	0,375
1,9513	0,445
2,0515	0,515
2,1517	0,584
2,2519	0,654
2,3521	0,712
2,4521	0,721
2,5521	0,715
2,6521	0,708
2,7520	0,701
2,8520	0,694
2,9520	0,687
3,0520	0,680
3,1520	0,673
3,2519	0,666
3,3519	0,659
3,4519	0,651
3,5519	0,644
3,6519	0,636
3,7518	0,629
3,8518	0,621
3,9518	0,614
4,0518	0,606
4,1517	0,598
4,2517	0,590
4,3517	0,582
4,4517	0,574
4,5516	0,566
4,6516	0,558
4,7516	0,550
4,8516	0,541
4,9515	0,533
5,0515	0,525
5,1515	0,516
5,2515	0,508
5,3515	0,499
5,4514	0,491
5,5514	0,482
5,6514	0,474
5,7514	0,465
5,8513	0,457
5,9513	0,448
6,0513	0,439
6,1513	0,430
6,2512	0,421
6,3512	0,412
6,4512	0,403
6,5511	0,394
6,6511	0,385
6,7511	0,375
6,8510	0,345
6,9508	0,292
7,0507	0,236
7,1505	0,184
7,2505	0,177
7,3506	0,193
