Position, Run #2
Time ( s )	Position ( m )
5,1200E-4	0,176
0,1005	0,176
0,2005	0,176
0,3005	0,176
0,4005	0,175
0,5005	0,176
0,6005	0,176
0,7005	0,176
0,8005	0,176
0,9005	0,176
1,0005	0,176
1,1005	0,176
1,2005	0,176
1,3006	0,211
1,4007	0,254
1,5009	0,297
1,6010	0,347
1,7012	0,397
1,8013	0,446
1,9014	0,496
2,0016	0,545
2,1017	0,594
2,2019	0,646
2,3020	0,695
2,4022	0,744
2,5023	0,796
2,6025	0,845
2,7026	0,890
2,8027	0,941
2,9029	0,990
3,0030	1,041
3,1032	1,089
3,2033	1,140
3,3035	1,191
3,4036	1,238
3,5037	1,289
3,6039	1,342
3,7040	1,372
3,8041	1,424
3,9043	1,476
4,0044	1,516
4,1046	1,575
4,2047	1,613
4,3192	6,603
4,4050	1,706
4,5192	6,603
4,6052	1,801
4,7054	1,844
4,8055	1,876
4,9056	1,916
5,0056	1,914
5,1055	1,905
5,2055	1,895
5,3055	1,887
5,4055	1,882
5,5054	1,871
5,6054	1,865
5,7054	1,855
5,8054	1,846
5,9053	1,840
6,0053	1,831
