Position, Run #3
Time ( s )	Position ( m )
5,1500E-4	0,177
0,1005	0,177
0,2005	0,177
0,3005	0,177
0,4005	0,177
0,5005	0,177
0,6005	0,177
0,7005	0,177
0,8005	0,177
0,9005	0,177
1,0005	0,177
1,1005	0,178
1,2005	0,178
1,3005	0,178
1,4005	0,178
1,5005	0,177
1,6006	0,194
1,7007	0,242
1,8008	0,281
1,9010	0,331
2,0011	0,381
2,1013	0,431
2,2014	0,481
2,3015	0,531
2,4017	0,580
2,5018	0,632
2,6020	0,682
2,7021	0,732
2,8023	0,783
2,9024	0,833
3,0026	0,881
3,1027	0,930
3,2028	0,979
3,3030	1,030
3,4031	1,079
3,5033	1,130
3,6034	1,179
3,7036	1,226
3,8037	1,277
3,9039	1,331
4,0040	1,368
4,1041	1,414
4,2043	1,464
4,3197	6,768
4,4046	1,570
4,5154	5,295
4,6198	6,826
4,7154	5,287
4,8200	6,884
4,9198	6,801
5,0197	6,764
5,1055	1,881
5,2197	6,788
5,3056	1,912
5,4055	1,899
5,5055	1,886
