Position, Run #1
Time ( s )	Position ( m )
0,0045	1,534
0,1046	1,577
0,2047	1,630
0,3048	1,666
0,4050	1,712
0,5218	7,503
0,6178	6,110
0,7053	1,833
0,8054	1,874
0,9056	1,912
1,0056	1,914
1,1055	1,904
1,2055	1,895
1,3055	1,885
1,4054	1,873
1,5054	1,866
1,6054	1,856
1,7054	1,846
1,8053	1,836
1,9053	1,826
2,0053	1,816
2,1053	1,807
2,2052	1,796
2,3052	1,786
2,4052	1,775
2,5051	1,764
2,6051	1,754
2,7051	1,743
2,8050	1,732
2,9050	1,721
3,0050	1,708
3,1049	1,697
3,2049	1,686
3,3049	1,675
3,4048	1,663
3,5048	1,652
3,6048	1,641
3,7047	1,629
3,8047	1,618
