Position, Run #4
Time ( s )	Position ( m )
0,0044	1,503
0,1044	1,526
0,2045	1,551
0,3046	1,575
0,4046	1,595
0,5047	1,618
0,6048	1,644
0,7048	1,666
0,8049	1,686
0,9050	1,711
1,0050	1,736
1,1051	1,755
1,2052	1,776
1,3052	1,797
1,4053	1,818
1,5053	1,838
1,6054	1,856
1,7055	1,876
1,8055	1,896
1,9056	1,916
2,0056	1,912
2,1055	1,907
2,2055	1,902
2,3055	1,896
2,4055	1,891
2,5055	1,885
2,6055	1,879
2,7054	1,873
2,8054	1,867
2,9054	1,861
3,0054	1,852
3,1054	1,846
3,2053	1,839
3,3053	1,835
3,4053	1,829
3,5053	1,822
3,6053	1,815
3,7053	1,809
3,8052	1,802
3,9052	1,794
4,0052	1,788
4,1052	1,780
4,2052	1,773
4,3051	1,766
