Angular Position, Run #54
Time ( s )	Angular Position ( rad )
0,0000	0,080
0,0400	0,061
0,0800	0,041
0,1200	0,017
0,1600	-0,008
0,2000	-0,036
0,2400	-0,064
0,2800	-0,096
0,3200	-0,126
0,3600	-0,157
0,4000	-0,188
0,4400	-0,218
0,4800	-0,247
0,5200	-0,275
0,5600	-0,300
0,6000	-0,322
0,6400	-0,342
0,6800	-0,360
0,7200	-0,372
0,7600	-0,383
0,8000	-0,388
0,8400	-0,391
0,8800	-0,390
0,9200	-0,385
0,9600	-0,375
1,0000	-0,361
1,0400	-0,346
1,0800	-0,325
1,1200	-0,303
1,1600	-0,278
1,2000	-0,250
1,2400	-0,221
1,2800	-0,190
1,3200	-0,159
1,3600	-0,127
1,4000	-0,096
1,4400	-0,064
1,4800	-0,033
1,5200	-0,005
1,5600	0,022
1,6000	0,047
1,6400	0,069
1,6800	0,088
1,7200	0,104
1,7600	0,115
1,8000	0,123
1,8400	0,127
1,8800	0,129
1,9200	0,126
1,9600	0,118
2,0000	0,107
2,0400	0,091
2,0800	0,074
2,1200	0,053
2,1600	0,028
2,2000	0,003
2,2400	-0,025
2,2800	-0,055
2,3200	-0,086
2,3600	-0,118
2,4000	-0,151
2,4400	-0,182
2,4800	-0,214
2,5200	-0,243
2,5600	-0,272
2,6000	-0,297
2,6400	-0,320
2,6800	-0,341
2,7200	-0,357
2,7600	-0,371
2,8000	-0,380
2,8400	-0,385
2,8800	-0,386
2,9200	-0,385
2,9600	-0,379
3,0000	-0,369
3,0400	-0,355
3,0800	-0,339
3,1200	-0,319
3,1600	-0,297
3,2000	-0,273
3,2400	-0,247
3,2800	-0,218
3,3200	-0,190
3,3600	-0,160
3,4000	-0,130
3,4400	-0,101
3,4800	-0,072
3,5200	-0,042
3,5600	-0,016
3,6000	0,009
3,6400	0,033
3,6800	0,053
3,7200	0,071
3,7600	0,086
3,8000	0,097
3,8400	0,107
3,8800	0,112
3,9200	0,113
3,9600	0,110
4,0000	0,105
4,0400	0,096
4,0800	0,083
4,1200	0,068
4,1600	0,049
4,2000	0,028
4,2400	0,005
4,2800	-0,020
4,3200	-0,047
4,3600	-0,075
4,4000	-0,104
4,4400	-0,134
4,4800	-0,163
4,5200	-0,192
4,5600	-0,220
4,6000	-0,248
4,6400	-0,273
4,6800	-0,297
4,7200	-0,317
4,7600	-0,336
4,8000	-0,352
4,8400	-0,364
4,8800	-0,374
4,9200	-0,379
4,9600	-0,380
5,0000	-0,379
5,0400	-0,374
5,0800	-0,364
5,1200	-0,352
5,1600	-0,336
5,2000	-0,317
5,2400	-0,295
5,2800	-0,272
5,3200	-0,245
5,3600	-0,217
5,4000	-0,188
5,4400	-0,159
5,4800	-0,129
5,5200	-0,097
5,5600	-0,068
5,6000	-0,039
5,6400	-0,011
5,6800	0,014
5,7200	0,038
5,7600	0,060
5,8000	0,079
5,8400	0,093
5,8800	0,105
5,9200	0,115
5,9600	0,119
6,0000	0,119
6,0400	0,118
6,0800	0,112
6,1200	0,101
6,1600	0,088
6,2000	0,071
6,2400	0,052
6,2800	0,028
6,3200	0,005
6,3600	-0,022
6,4000	-0,050
6,4400	-0,080
6,4800	-0,112
6,5200	-0,143
6,5600	-0,173
6,6000	-0,204
6,6400	-0,234
6,6800	-0,261
6,7200	-0,287
6,7600	-0,311
6,8000	-0,333
6,8400	-0,352
6,8800	-0,368
6,9200	-0,379
6,9600	-0,386
7,0000	-0,391
7,0400	-0,391
7,0800	-0,388
7,1200	-0,380
7,1600	-0,369
7,2000	-0,355
7,2400	-0,336
7,2800	-0,314
7,3200	-0,291
7,3600	-0,264
7,4000	-0,236
7,4400	-0,206
7,4800	-0,174
7,5200	-0,141
7,5600	-0,110
7,6000	-0,079
7,6400	-0,047
7,6800	-0,017
7,7200	0,009
7,7600	0,036
7,8000	0,060
7,8400	0,080
7,8800	0,097
7,9200	0,112
7,9600	0,121
8,0000	0,127
8,0400	0,130
8,0800	0,129
8,1200	0,124
8,1600	0,115
8,2000	0,101
8,2400	0,085
8,2800	0,064
8,3200	0,041
8,3600	0,016
8,4000	-0,011
8,4400	-0,041
8,4800	-0,072
8,5200	-0,104
8,5600	-0,137
8,6000	-0,170
8,6400	-0,201
8,6800	-0,232
8,7200	-0,261
8,7600	-0,287
8,8000	-0,313
8,8400	-0,335
8,8800	-0,355
8,9200	-0,369
8,9600	-0,382
9,0000	-0,390
9,0400	-0,394
9,0800	-0,394
9,1200	-0,391
9,1600	-0,385
9,2000	-0,372
9,2400	-0,358
9,2800	-0,339
9,3200	-0,317
9,3600	-0,294
9,4000	-0,267
9,4400	-0,239
9,4800	-0,209
9,5200	-0,178
9,5600	-0,145
9,6000	-0,113
9,6400	-0,082
9,6800	-0,050
9,7200	-0,020
9,7600	0,008
9,8000	0,033
9,8400	0,057
9,8800	0,077
9,9200	0,094
9,9600	0,108
10,0000	0,118
10,0400	0,124
10,0800	0,127
10,1200	0,127
10,1600	0,121
10,2000	0,113
10,2400	0,101
10,2800	0,085
10,3200	0,064
10,3600	0,042
10,4000	0,019
10,4400	-0,008
10,4800	-0,036
10,5200	-0,066
10,5600	-0,096
10,6000	-0,127
10,6400	-0,159
10,6800	-0,190
10,7200	-0,220
10,7600	-0,248
10,8000	-0,275
10,8400	-0,298
10,8800	-0,320
10,9200	-0,339
10,9600	-0,355
11,0000	-0,368
