Position, Run #2
Time ( s )	Position ( m )
4,9100E-4	0,169
0,1005	0,172
0,2005	0,172
0,3005	0,172
0,4005	0,171
0,5007	0,241
0,6009	0,295
0,7011	0,363
0,8013	0,431
0,9015	0,499
1,0016	0,567
1,1019	0,637
1,2020	0,705
1,3022	0,772
1,4024	0,842
1,5026	0,905
1,6028	0,974
1,7030	1,042
1,8032	1,109
1,9034	1,176
2,0036	1,248
2,1038	1,313
2,2040	1,369
2,3042	1,433
2,4044	1,503
2,5046	1,574
2,6214	7,352
2,7212	7,281
2,8212	7,282
2,9175	6,021
3,0058	2,007
3,1056	1,936
3,2055	1,902
3,3055	1,886
3,4054	1,869
3,5054	1,853
3,6053	1,836
3,7053	1,822
3,8053	1,806
3,9052	1,789
4,0052	1,772
4,1051	1,756
4,2051	1,739
4,3050	1,721
