Position, Run #8
Time ( s )	Position ( m )
5,0350E-4	0,173
0,1005	0,173
0,2005	0,173
0,3005	0,173
0,4005	0,173
0,5005	0,188
0,6007	0,247
0,7009	0,306
0,8011	0,373
0,9013	0,438
1,0015	0,504
1,1017	0,571
1,2019	0,638
1,3020	0,704
1,4022	0,773
1,5024	0,839
1,6026	0,902
1,7028	0,967
1,8030	1,034
1,9032	1,102
2,0034	1,166
2,1036	1,232
2,2038	1,299
2,3039	1,358
2,4041	1,418
2,5043	1,486
2,6045	1,555
2,7058	2,011
2,8212	7,308
2,9213	7,338
3,0169	5,799
3,1169	5,802
3,2216	7,438
3,3056	1,909
3,4055	1,891
3,5054	1,870
3,6054	1,852
3,7053	1,836
3,8053	1,818
3,9052	1,800
4,0052	1,781
4,1051	1,762
4,2051	1,744
4,3050	1,725
4,4050	1,707
4,5049	1,686
4,6048	1,667
4,7048	1,648
4,8047	1,629
4,9047	1,610
5,0046	1,591
5,1046	1,572
5,2045	1,553
5,3045	1,534
5,4044	1,514
