Position, Run #5
Time ( s )	Position ( m )
5,0250E-4	0,173
0,1005	0,173
0,2005	0,173
0,3005	0,173
0,4005	0,173
0,5005	0,173
0,6005	0,173
0,7005	0,173
0,8005	0,173
0,9005	0,173
1,0005	0,173
1,1005	0,173
1,2005	0,173
1,3005	0,173
1,4005	0,173
1,5005	0,173
1,6005	0,173
1,7005	0,173
1,8006	0,198
1,9007	0,257
2,0009	0,317
2,1011	0,384
2,2013	0,450
2,3015	0,516
2,4017	0,582
2,5019	0,651
2,6021	0,717
2,7023	0,785
2,8025	0,851
2,9027	0,915
3,0028	0,980
3,1030	1,047
3,2032	1,114
3,3034	1,178
3,4036	1,241
3,5038	1,311
3,6040	1,366
3,7041	1,427
3,8044	1,496
3,9045	1,558
4,0047	1,633
4,1194	6,679
4,2192	6,616
4,3195	6,711
4,4054	1,870
4,5058	1,993
4,6055	1,905
4,7055	1,891
4,8054	1,874
4,9054	1,855
5,0053	1,839
5,1053	1,825
5,2053	1,809
5,3052	1,791
5,4052	1,774
5,5051	1,757
5,6051	1,740
5,7050	1,723
5,8050	1,703
5,9049	1,686
