Position, Run #4
Time ( s )	Position ( m )
8,2650E-4	0,284
0,1010	0,351
0,2012	0,416
0,3014	0,482
0,4016	0,548
0,5018	0,614
0,6020	0,682
0,7022	0,748
0,8024	0,815
0,9026	0,880
1,0027	0,944
1,1029	1,012
1,2031	1,076
1,3033	1,143
1,4035	1,207
1,5037	1,274
1,6039	1,340
1,7040	1,393
1,8042	1,459
1,9044	1,524
2,0046	1,596
2,1221	7,595
2,2216	7,432
2,3221	7,587
2,4217	7,469
2,5218	7,497
2,6056	1,919
2,7055	1,909
2,8055	1,903
2,9055	1,898
3,0055	1,893
3,1055	1,888
3,2055	1,883
3,3055	1,877
3,4054	1,872
3,5054	1,866
3,6054	1,860
3,7054	1,854
3,8054	1,846
3,9053	1,840
4,0053	1,836
4,1053	1,830
4,2053	1,824
4,3053	1,820
4,4053	1,813
4,5052	1,804
4,6052	1,800
4,7052	1,793
4,8052	1,784
4,9052	1,777
5,0052	1,772
5,1051	1,765
5,2051	1,758
5,3051	1,751
5,4051	1,743
5,5050	1,736
5,6050	1,728
