Position, Run #9
Time ( s )	Position ( m )
0,0033	1,132
0,1035	1,200
0,2037	1,267
0,3039	1,333
0,4040	1,385
0,5042	1,451
0,6044	1,517
0,7046	1,593
0,8208	7,156
0,9208	7,151
1,0206	7,076
1,1209	7,174
1,2171	5,898
1,3056	1,923
1,4056	1,910
1,5055	1,906
1,6055	1,903
1,7055	1,899
1,8055	1,896
1,9055	1,892
2,0055	1,888
2,1055	1,884
2,2055	1,880
2,3055	1,876
2,4054	1,871
2,5054	1,867
2,6054	1,862
2,7054	1,858
2,8054	1,853
2,9054	1,848
3,0054	1,843
3,1053	1,838
3,2053	1,834
3,3053	1,828
3,4053	1,825
3,5053	1,820
