Position, Run #3
Time ( s )	Position ( m )
5,0050E-4	0,172
0,1005	0,172
0,2005	0,172
0,3005	0,172
0,4005	0,172
0,5005	0,172
0,6005	0,172
0,7005	0,172
0,8005	0,172
0,9005	0,172
1,0005	0,169
1,1005	0,172
1,2005	0,172
1,3006	0,212
1,4008	0,265
1,5010	0,333
1,6012	0,400
1,7014	0,467
1,8016	0,535
1,9018	0,603
2,0020	0,672
2,1021	0,739
2,2024	0,809
2,3025	0,875
2,4027	0,940
2,5029	1,009
2,6031	1,075
2,7033	1,142
2,8035	1,210
2,9037	1,278
3,0039	1,343
3,1041	1,399
3,2043	1,465
3,3045	1,543
3,4059	2,014
3,5195	6,695
3,6154	5,294
3,7194	6,682
3,8193	6,629
3,9195	6,712
4,0056	1,912
4,1055	1,898
4,2055	1,882
4,3054	1,867
4,4054	1,851
4,5053	1,836
4,6053	1,823
4,7052	1,804
4,8052	1,791
4,9052	1,775
5,0051	1,759
5,1051	1,743
5,2050	1,724
5,3050	1,707
5,4049	1,691
5,5049	1,674
5,6048	1,658
5,7048	1,641
5,8047	1,622
5,9047	1,609
6,0046	1,592
6,1046	1,574
6,2045	1,558
6,3045	1,541
6,4044	1,524
6,5044	1,507
6,6043	1,490
6,7043	1,473
6,8042	1,453
6,9042	1,435
7,0041	1,418
7,1041	1,400
7,2040	1,383
7,3040	1,366
7,4039	1,349
