Angular Position, 6.04
Time ( s )	Angular Position ( rad )
6,8800	0,300
6,9000	0,302
6,9200	0,303
6,9400	0,305
6,9600	0,306
6,9800	0,306
7,0000	0,306
7,0200	0,306
7,0400	0,305
7,0600	0,303
7,0800	0,302
7,1000	0,300
7,1200	0,297
7,1400	0,295
7,1600	0,292
7,1800	0,289
7,2000	0,286
7,2200	0,283
7,2400	0,278
7,2600	0,275
7,2800	0,270
7,3000	0,265
7,3200	0,259
7,3400	0,254
7,3600	0,250
7,3800	0,243
7,4000	0,237
7,4200	0,231
7,4400	0,225
7,4600	0,217
7,4800	0,210
7,5000	0,203
7,5200	0,196
7,5400	0,188
