Angular Position, 7.43
Time ( s )	Angular Position ( rad )
0,0000	-0,214
0,0200	-0,229
0,0400	-0,243
0,0600	-0,256
0,0800	-0,265
0,1000	-0,275
0,1200	-0,281
0,1400	-0,284
0,1600	-0,287
0,1800	-0,287
0,2000	-0,286
0,2200	-0,283
0,2400	-0,276
0,2600	-0,270
0,2800	-0,259
0,3000	-0,250
0,3200	-0,237
0,3400	-0,223
0,3600	-0,207
0,3800	-0,192
0,4000	-0,173
0,4200	-0,152
0,4400	-0,132
0,4600	-0,110
0,4800	-0,088
0,5000	-0,063
0,5200	-0,038
0,5400	-0,013
0,5600	0,014
0,5800	0,041
0,6000	0,069
0,6200	0,097
0,6400	0,126
0,6600	0,154
0,6800	0,182
0,7000	0,210
0,7200	0,237
0,7400	0,265
0,7600	0,292
0,7800	0,319
0,8000	0,346
0,8200	0,371
0,8400	0,394
0,8600	0,418
0,8800	0,440
0,9000	0,460
0,9200	0,479
0,9400	0,498
0,9600	0,515
0,9800	0,529
1,0000	0,543
1,0200	0,554
1,0400	0,564
1,0600	0,572
1,0800	0,578
1,1000	0,581
1,1200	0,583
1,1400	0,583
1,1600	0,581
1,1800	0,576
1,2000	0,570
1,2200	0,561
1,2400	0,551
1,2600	0,539
1,2800	0,525
1,3000	0,509
1,3200	0,492
1,3400	0,471
1,3600	0,451
1,3800	0,429
1,4000	0,407
1,4200	0,382
1,4400	0,357
1,4600	0,328
1,4800	0,300
1,5000	0,272
1,5200	0,242
1,5400	0,212
1,5600	0,181
1,5800	0,151
1,6000	0,119
1,6200	0,088
1,6400	0,058
1,6600	0,027
1,6800	-0,002
1,7000	-0,031
1,7200	-0,060
1,7400	-0,088
1,7600	-0,115
1,7800	-0,140
1,8000	-0,163
1,8200	-0,187
1,8400	-0,207
1,8600	-0,228
1,8800	-0,245
1,9000	-0,259
1,9200	-0,273
1,9400	-0,284
1,9600	-0,294
1,9800	-0,302
2,0000	-0,306
2,0200	-0,308
2,0400	-0,308
2,0600	-0,306
2,0800	-0,303
2,1000	-0,297
2,1200	-0,289
2,1400	-0,280
2,1600	-0,269
2,1800	-0,256
2,2000	-0,242
2,2200	-0,226
2,2400	-0,207
2,2600	-0,188
2,2800	-0,168
2,3000	-0,146
2,3200	-0,124
2,3400	-0,101
2,3600	-0,075
2,3800	-0,050
2,4000	-0,024
2,4200	0,005
2,4400	0,031
2,4600	0,061
2,4800	0,090
2,5000	0,118
2,5200	0,148
2,5400	0,176
2,5600	0,206
2,5800	0,234
2,6000	0,264
2,6200	0,291
2,6400	0,319
2,6600	0,346
2,6800	0,371
2,7000	0,396
2,7200	0,419
2,7400	0,441
2,7600	0,463
2,7800	0,484
2,8000	0,503
2,8200	0,520
2,8400	0,536
2,8600	0,550
2,8800	0,561
2,9000	0,572
2,9200	0,580
2,9400	0,586
2,9600	0,591
2,9800	0,592
3,0000	0,592
3,0200	0,591
3,0400	0,586
3,0600	0,581
3,0800	0,572
3,1000	0,562
3,1200	0,551
3,1400	0,537
3,1600	0,522
3,1800	0,503
3,2000	0,484
3,2200	0,465
3,2400	0,443
3,2600	0,419
3,2800	0,394
3,3000	0,369
3,3200	0,342
3,3400	0,314
3,3600	0,287
3,3800	0,258
3,4000	0,228
3,4200	0,196
3,4400	0,167
3,4600	0,135
3,4800	0,104
3,5000	0,074
3,5200	0,042
3,5400	0,013
3,5600	-0,017
3,5800	-0,046
3,6000	-0,074
3,6200	-0,101
3,6400	-0,126
3,6600	-0,151
3,6800	-0,174
3,7000	-0,196
3,7200	-0,215
3,7400	-0,234
3,7600	-0,251
3,7800	-0,265
3,8000	-0,278
3,8200	-0,289
3,8400	-0,297
3,8600	-0,305
3,8800	-0,308
3,9000	-0,309
3,9200	-0,309
3,9400	-0,308
3,9600	-0,305
3,9800	-0,298
4,0000	-0,291
4,0200	-0,281
4,0400	-0,269
